Namespace(alpha=0.2, att_dropout=0.5, cuda_available=True, cuda_device=0, embedding_path='logging/bitcoinOTC/bitcoinOTC_1_embedding.txt', epoches=2000, feature_dim=64, features_train='data/features/bitcoinOTC/bitcoinOTC_maxC_train1_features64_tsvd.pkl', interval=100, lr=0.01, model_path='logging/bitcoinOTC/bitcoinOTC_1_model.pkl', modify_input_features=True, net_test='data/train_test/bitcoinOTC/bitcoinOTC_maxC_test1.edgelist', net_train='data/train_test/bitcoinOTC/bitcoinOTC_maxC_train1.edgelist', nheads=2, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(5875, 64)
batch 0 loss: 0.7314044237136841 	 early: 0
batch 1 loss: 0.6615942716598511 	 early: 0
batch 2 loss: 0.4447356164455414 	 early: 0
batch 3 loss: 0.7502992749214172 	 early: 1
batch 4 loss: 0.4927811622619629 	 early: 2
batch 5 loss: 0.40006718039512634 	 early: 0
batch 6 loss: 0.39714276790618896 	 early: 0
batch 7 loss: 0.38762274384498596 	 early: 0
batch 8 loss: 0.3803981840610504 	 early: 0
batch 9 loss: 0.37617263197898865 	 early: 0
batch 10 loss: 0.36812570691108704 	 early: 0
batch 11 loss: 0.3628080189228058 	 early: 0
batch 12 loss: 0.35145246982574463 	 early: 0
batch 13 loss: 0.3439140021800995 	 early: 0
batch 14 loss: 0.33555182814598083 	 early: 0
batch 15 loss: 0.3354093134403229 	 early: 0
batch 16 loss: 0.34366291761398315 	 early: 1
batch 17 loss: 0.33774295449256897 	 early: 2
batch 18 loss: 0.32080206274986267 	 early: 0
batch 19 loss: 0.31506529450416565 	 early: 0
batch 20 loss: 0.3054651618003845 	 early: 0
batch 21 loss: 0.2949635684490204 	 early: 0
batch 22 loss: 0.29820090532302856 	 early: 1
batch 23 loss: 0.29886165261268616 	 early: 2
batch 24 loss: 0.30929064750671387 	 early: 3
batch 25 loss: 0.3137132227420807 	 early: 4
batch 26 loss: 0.31893086433410645 	 early: 5
batch 27 loss: 0.29846686124801636 	 early: 6
batch 28 loss: 0.2877196669578552 	 early: 0
batch 29 loss: 0.2766120135784149 	 early: 0
batch 30 loss: 0.27509060502052307 	 early: 0
batch 31 loss: 0.2755240499973297 	 early: 1
batch 32 loss: 0.2710515856742859 	 early: 0
batch 33 loss: 0.2672065198421478 	 early: 0
batch 34 loss: 0.27308833599090576 	 early: 1
batch 35 loss: 0.29105305671691895 	 early: 2
batch 36 loss: 0.2976614534854889 	 early: 3
batch 37 loss: 0.29926741123199463 	 early: 4
batch 38 loss: 0.27547499537467957 	 early: 5
batch 39 loss: 0.2658658027648926 	 early: 0
batch 40 loss: 0.25989779829978943 	 early: 0
batch 41 loss: 0.253841757774353 	 early: 0
batch 42 loss: 0.2556692957878113 	 early: 1
batch 43 loss: 0.2513244152069092 	 early: 0
batch 44 loss: 0.2496636062860489 	 early: 0
batch 45 loss: 0.24687504768371582 	 early: 0
batch 46 loss: 0.2495516836643219 	 early: 1
batch 47 loss: 0.28231918811798096 	 early: 2
batch 48 loss: 0.29015427827835083 	 early: 3
batch 49 loss: 0.284172385931015 	 early: 4
batch 50 loss: 0.24707749485969543 	 early: 5
batch 51 loss: 0.24050340056419373 	 early: 0
batch 52 loss: 0.23603187501430511 	 early: 0
batch 53 loss: 0.23828256130218506 	 early: 1
batch 54 loss: 0.2377699613571167 	 early: 2
batch 55 loss: 0.23200483620166779 	 early: 0
batch 56 loss: 0.2305859476327896 	 early: 0
batch 57 loss: 0.2294648438692093 	 early: 0
batch 58 loss: 0.22552594542503357 	 early: 0
batch 59 loss: 0.22748792171478271 	 early: 1
batch 60 loss: 0.2262510061264038 	 early: 2
batch 61 loss: 0.224938303232193 	 early: 0
batch 62 loss: 0.22591708600521088 	 early: 1
batch 63 loss: 0.23280148208141327 	 early: 2
batch 64 loss: 0.23196832835674286 	 early: 3
batch 65 loss: 0.23885184526443481 	 early: 4
batch 66 loss: 0.22213971614837646 	 early: 0
batch 67 loss: 0.22109408676624298 	 early: 0
batch 68 loss: 0.21607938408851624 	 early: 0
batch 69 loss: 0.21688741445541382 	 early: 1
batch 70 loss: 0.2133847177028656 	 early: 0
batch 71 loss: 0.21530871093273163 	 early: 1
batch 72 loss: 0.20600847899913788 	 early: 0
batch 73 loss: 0.20984014868736267 	 early: 1
batch 74 loss: 0.20705662667751312 	 early: 2
batch 75 loss: 0.20581133663654327 	 early: 0
batch 76 loss: 0.20981475710868835 	 early: 1
batch 77 loss: 0.2130357027053833 	 early: 2
batch 78 loss: 0.21868881583213806 	 early: 3
batch 79 loss: 0.23861968517303467 	 early: 4
batch 80 loss: 0.23549231886863708 	 early: 5
batch 81 loss: 0.23442217707633972 	 early: 6
batch 82 loss: 0.21506370604038239 	 early: 7
batch 83 loss: 0.20914088189601898 	 early: 8
batch 84 loss: 0.20410628616809845 	 early: 0
batch 85 loss: 0.20197850465774536 	 early: 0
batch 86 loss: 0.2022123485803604 	 early: 1
batch 87 loss: 0.19966578483581543 	 early: 0
batch 88 loss: 0.19887129962444305 	 early: 0
batch 89 loss: 0.19635136425495148 	 early: 0
batch 90 loss: 0.20033302903175354 	 early: 1
batch 91 loss: 0.19837959110736847 	 early: 2
batch 92 loss: 0.19654417037963867 	 early: 3
batch 93 loss: 0.1954062134027481 	 early: 0
batch 94 loss: 0.19573572278022766 	 early: 1
batch 95 loss: 0.195956289768219 	 early: 2
batch 96 loss: 0.1979983001947403 	 early: 3
batch 97 loss: 0.1938360333442688 	 early: 0
batch 98 loss: 0.19773223996162415 	 early: 1
batch 99 loss: 0.19476309418678284 	 early: 2
[[ 384  267]
 [  47 3599]]
mlp_dir f1_mi 0.9269257621596463 f1_ma 0.8339984429103207 f1_wt 0.9205668165189459 f1_bi 0.9582002129925452 auc_p 0.9313137390217 auc_l 0.7884854559380774
[[ 767  535]
 [  92 7200]]
mlp_dou f1_mi 0.9270421224109844 f1_ma 0.8340658263529164 f1_wt 0.9206394332840259 f1_bi 0.9582751048113396 auc_p 0.9313538161889425 auc_l 0.7882385679485462
batch 100 loss: 0.19613155722618103 	 early: 3
batch 101 loss: 0.18874864280223846 	 early: 0
batch 102 loss: 0.18636110424995422 	 early: 0
batch 103 loss: 0.1849232316017151 	 early: 0
batch 104 loss: 0.18338623642921448 	 early: 0
batch 105 loss: 0.1862030327320099 	 early: 1
batch 106 loss: 0.18868675827980042 	 early: 2
batch 107 loss: 0.1871582418680191 	 early: 3
batch 108 loss: 0.19115670025348663 	 early: 4
batch 109 loss: 0.19011816382408142 	 early: 5
batch 110 loss: 0.19417564570903778 	 early: 6
batch 111 loss: 0.19180619716644287 	 early: 7
batch 112 loss: 0.19120670855045319 	 early: 8
batch 113 loss: 0.18349534273147583 	 early: 9
batch 114 loss: 0.18249399960041046 	 early: 0
batch 115 loss: 0.18266183137893677 	 early: 1
batch 116 loss: 0.18006470799446106 	 early: 0
batch 117 loss: 0.17835819721221924 	 early: 0
batch 118 loss: 0.1770440936088562 	 early: 0
batch 119 loss: 0.17729774117469788 	 early: 1
batch 120 loss: 0.17552714049816132 	 early: 0
batch 121 loss: 0.17671725153923035 	 early: 1
batch 122 loss: 0.18307705223560333 	 early: 2
batch 123 loss: 0.18562492728233337 	 early: 3
batch 124 loss: 0.19152145087718964 	 early: 4
batch 125 loss: 0.19135279953479767 	 early: 5
batch 126 loss: 0.19272862374782562 	 early: 6
batch 127 loss: 0.18866364657878876 	 early: 7
batch 128 loss: 0.19175219535827637 	 early: 8
batch 129 loss: 0.1799290031194687 	 early: 9
batch 130 loss: 0.1753646731376648 	 early: 0
batch 131 loss: 0.17779389023780823 	 early: 1
batch 132 loss: 0.17644716799259186 	 early: 2
batch 133 loss: 0.17474232614040375 	 early: 0
batch 134 loss: 0.17586463689804077 	 early: 1
batch 135 loss: 0.17491155862808228 	 early: 2
batch 136 loss: 0.1739071160554886 	 early: 0
batch 137 loss: 0.17209264636039734 	 early: 0
batch 138 loss: 0.1739111691713333 	 early: 1
batch 139 loss: 0.16958463191986084 	 early: 0
batch 140 loss: 0.17209282517433167 	 early: 1
batch 141 loss: 0.16914968192577362 	 early: 0
batch 142 loss: 0.17321671545505524 	 early: 1
batch 143 loss: 0.1706043928861618 	 early: 2
batch 144 loss: 0.17307814955711365 	 early: 3
batch 145 loss: 0.17837901413440704 	 early: 4
batch 146 loss: 0.1790115237236023 	 early: 5
batch 147 loss: 0.18265078961849213 	 early: 6
batch 148 loss: 0.1744772344827652 	 early: 7
batch 149 loss: 0.17665034532546997 	 early: 8
batch 150 loss: 0.17366735637187958 	 early: 9
batch 151 loss: 0.1712123304605484 	 early: 10
batch 152 loss: 0.17083390057086945 	 early: 11
batch 153 loss: 0.17198456823825836 	 early: 12
batch 154 loss: 0.17059582471847534 	 early: 13
batch 155 loss: 0.1689688265323639 	 early: 0
batch 156 loss: 0.1666056364774704 	 early: 0
batch 157 loss: 0.16654205322265625 	 early: 0
batch 158 loss: 0.16983167827129364 	 early: 1
batch 159 loss: 0.16511119902133942 	 early: 0
batch 160 loss: 0.16645419597625732 	 early: 1
batch 161 loss: 0.17172951996326447 	 early: 2
batch 162 loss: 0.16940294206142426 	 early: 3
batch 163 loss: 0.17083270847797394 	 early: 4
batch 164 loss: 0.16882462799549103 	 early: 5
batch 165 loss: 0.17286890745162964 	 early: 6
batch 166 loss: 0.17450492084026337 	 early: 7
batch 167 loss: 0.17448285222053528 	 early: 8
batch 168 loss: 0.1696050763130188 	 early: 9
batch 169 loss: 0.17335499823093414 	 early: 10
batch 170 loss: 0.17502690851688385 	 early: 11
batch 171 loss: 0.17161908745765686 	 early: 12
batch 172 loss: 0.16562315821647644 	 early: 13
batch 173 loss: 0.16506433486938477 	 early: 0
batch 174 loss: 0.16335228085517883 	 early: 0
batch 175 loss: 0.1622055023908615 	 early: 0
batch 176 loss: 0.1613108366727829 	 early: 0
batch 177 loss: 0.1645624041557312 	 early: 1
batch 178 loss: 0.1616692990064621 	 early: 2
batch 179 loss: 0.1619940996170044 	 early: 3
batch 180 loss: 0.16251520812511444 	 early: 4
batch 181 loss: 0.16154007613658905 	 early: 5
batch 182 loss: 0.1644323319196701 	 early: 6
batch 183 loss: 0.16684632003307343 	 early: 7
batch 184 loss: 0.16589052975177765 	 early: 8
batch 185 loss: 0.16473586857318878 	 early: 9
batch 186 loss: 0.16569140553474426 	 early: 10
batch 187 loss: 0.1655428260564804 	 early: 11
batch 188 loss: 0.16166992485523224 	 early: 12
batch 189 loss: 0.16020959615707397 	 early: 0
batch 190 loss: 0.16743333637714386 	 early: 1
batch 191 loss: 0.16407768428325653 	 early: 2
batch 192 loss: 0.1598990112543106 	 early: 0
batch 193 loss: 0.15834859013557434 	 early: 0
batch 194 loss: 0.15857873857021332 	 early: 1
batch 195 loss: 0.1588687151670456 	 early: 2
batch 196 loss: 0.15767204761505127 	 early: 0
batch 197 loss: 0.15936976671218872 	 early: 1
batch 198 loss: 0.15563933551311493 	 early: 0
batch 199 loss: 0.15802831947803497 	 early: 1
[[ 485  166]
 [ 109 3537]]
mlp_dir f1_mi 0.9360018617640214 f1_ma 0.8708482043564105 f1_wt 0.9347850339552948 f1_bi 0.9625799428493672 auc_p 0.9521448078107607 auc_l 0.8575559521492316
[[ 972  330]
 [ 216 7076]]
mlp_dou f1_mi 0.936467302769374 f1_ma 0.8717874901429093 f1_wt 0.9352593246174381 f1_bi 0.9628520887195536 auc_p 0.9521658206750574 auc_l 0.8584611378924192
batch 200 loss: 0.156484454870224 	 early: 2
batch 201 loss: 0.15849700570106506 	 early: 3
batch 202 loss: 0.16151294112205505 	 early: 4
batch 203 loss: 0.16362310945987701 	 early: 5
batch 204 loss: 0.16648076474666595 	 early: 6
batch 205 loss: 0.17726783454418182 	 early: 7
batch 206 loss: 0.174830362200737 	 early: 8
batch 207 loss: 0.1715545505285263 	 early: 9
batch 208 loss: 0.16085419058799744 	 early: 10
batch 209 loss: 0.16058623790740967 	 early: 11
batch 210 loss: 0.16183795034885406 	 early: 12
batch 211 loss: 0.15970085561275482 	 early: 13
batch 212 loss: 0.15867850184440613 	 early: 14
batch 213 loss: 0.1553889513015747 	 early: 0
batch 214 loss: 0.15752612054347992 	 early: 1
batch 215 loss: 0.15378153324127197 	 early: 0
batch 216 loss: 0.15448316931724548 	 early: 1
batch 217 loss: 0.1545266956090927 	 early: 2
batch 218 loss: 0.1568339467048645 	 early: 3
batch 219 loss: 0.15695418417453766 	 early: 4
batch 220 loss: 0.15380772948265076 	 early: 5
batch 221 loss: 0.1534748375415802 	 early: 0
batch 222 loss: 0.15552374720573425 	 early: 1
batch 223 loss: 0.1525886207818985 	 early: 0
batch 224 loss: 0.15535371005535126 	 early: 1
batch 225 loss: 0.1543281227350235 	 early: 2
batch 226 loss: 0.15475623309612274 	 early: 3
batch 227 loss: 0.1546056866645813 	 early: 4
batch 228 loss: 0.1562548279762268 	 early: 5
batch 229 loss: 0.1562432497739792 	 early: 6
batch 230 loss: 0.15706616640090942 	 early: 7
batch 231 loss: 0.16072680056095123 	 early: 8
batch 232 loss: 0.17073814570903778 	 early: 9
batch 233 loss: 0.1731855720281601 	 early: 10
batch 234 loss: 0.16431057453155518 	 early: 11
batch 235 loss: 0.16139699518680573 	 early: 12
batch 236 loss: 0.1520051509141922 	 early: 0
batch 237 loss: 0.1542750895023346 	 early: 1
batch 238 loss: 0.1529170125722885 	 early: 2
batch 239 loss: 0.15213748812675476 	 early: 3
batch 240 loss: 0.15328294038772583 	 early: 4
batch 241 loss: 0.15122324228286743 	 early: 0
batch 242 loss: 0.15360911190509796 	 early: 1
batch 243 loss: 0.15128786861896515 	 early: 2
batch 244 loss: 0.154264435172081 	 early: 3
batch 245 loss: 0.14934782683849335 	 early: 0
batch 246 loss: 0.15124331414699554 	 early: 1
batch 247 loss: 0.15233869850635529 	 early: 2
batch 248 loss: 0.15121881663799286 	 early: 3
batch 249 loss: 0.14781439304351807 	 early: 0
batch 250 loss: 0.14741361141204834 	 early: 0
batch 251 loss: 0.15166901051998138 	 early: 1
batch 252 loss: 0.1508483737707138 	 early: 2
batch 253 loss: 0.15333200991153717 	 early: 3
batch 254 loss: 0.1525793969631195 	 early: 4
batch 255 loss: 0.1537908911705017 	 early: 5
batch 256 loss: 0.15294678509235382 	 early: 6
batch 257 loss: 0.1577785611152649 	 early: 7
batch 258 loss: 0.15879707038402557 	 early: 8
batch 259 loss: 0.1563883274793625 	 early: 9
batch 260 loss: 0.15333274006843567 	 early: 10
batch 261 loss: 0.15060923993587494 	 early: 11
batch 262 loss: 0.15076805651187897 	 early: 12
batch 263 loss: 0.1508880853652954 	 early: 13
batch 264 loss: 0.15168879926204681 	 early: 14
batch 265 loss: 0.15311208367347717 	 early: 15
batch 266 loss: 0.1518300324678421 	 early: 16
batch 267 loss: 0.15170447528362274 	 early: 17
batch 268 loss: 0.1512877196073532 	 early: 18
batch 269 loss: 0.15064497292041779 	 early: 19
batch 270 loss: 0.15005716681480408 	 early: 20
batch 271 loss: 0.14935818314552307 	 early: 21
batch 272 loss: 0.14996162056922913 	 early: 22
batch 273 loss: 0.1517230123281479 	 early: 23
batch 274 loss: 0.14704786241054535 	 early: 0
batch 275 loss: 0.14938460290431976 	 early: 1
batch 276 loss: 0.14891721308231354 	 early: 2
batch 277 loss: 0.14792728424072266 	 early: 3
batch 278 loss: 0.14830578863620758 	 early: 4
batch 279 loss: 0.15022248029708862 	 early: 5
batch 280 loss: 0.14734068512916565 	 early: 6
batch 281 loss: 0.14744886755943298 	 early: 7
batch 282 loss: 0.1457374393939972 	 early: 0
batch 283 loss: 0.14983752369880676 	 early: 1
batch 284 loss: 0.15237683057785034 	 early: 2
batch 285 loss: 0.15890151262283325 	 early: 3
batch 286 loss: 0.16171708703041077 	 early: 4
batch 287 loss: 0.1602567881345749 	 early: 5
batch 288 loss: 0.15325774252414703 	 early: 6
batch 289 loss: 0.15324468910694122 	 early: 7
batch 290 loss: 0.15115182101726532 	 early: 8
batch 291 loss: 0.15028588473796844 	 early: 9
batch 292 loss: 0.1495037078857422 	 early: 10
batch 293 loss: 0.1467328667640686 	 early: 11
batch 294 loss: 0.1486009806394577 	 early: 12
batch 295 loss: 0.14721401035785675 	 early: 13
batch 296 loss: 0.1476678103208542 	 early: 14
batch 297 loss: 0.14686140418052673 	 early: 15
batch 298 loss: 0.146237313747406 	 early: 16
batch 299 loss: 0.14808256924152374 	 early: 17
[[ 467  184]
 [  76 3570]]
mlp_dir f1_mi 0.9394926693041658 f1_ma 0.8735547104893839 f1_wt 0.937197696841389 f1_bi 0.9648648648648649 auc_p 0.9542755859797957 auc_l 0.8482565747619806
[[ 935  367]
 [ 153 7139]]
mlp_dou f1_mi 0.9394926693041658 f1_ma 0.8736434472373005 f1_wt 0.937221274474651 f1_bi 0.9648601162319231 auc_p 0.9542225535127611 auc_l 0.8485720310455328
batch 300 loss: 0.14604061841964722 	 early: 18
batch 301 loss: 0.1483248919248581 	 early: 19
batch 302 loss: 0.1475537121295929 	 early: 20
batch 303 loss: 0.14699670672416687 	 early: 21
batch 304 loss: 0.1468326449394226 	 early: 22
