Namespace(alpha=0.2, att_dropout=0.5, cuda_available=True, cuda_device=0, embedding_path='logging/bitcoinOTC/bitcoinOTC_3_embedding.txt', epoches=2000, feature_dim=64, features_train='data/features/bitcoinOTC/bitcoinOTC_maxC_train3_features64_tsvd.pkl', interval=100, lr=0.01, model_path='logging/bitcoinOTC/bitcoinOTC_3_model.pkl', modify_input_features=True, net_test='data/train_test/bitcoinOTC/bitcoinOTC_maxC_test3.edgelist', net_train='data/train_test/bitcoinOTC/bitcoinOTC_maxC_train3.edgelist', nheads=2, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(5875, 64)
batch 0 loss: 0.7314136624336243 	 early: 0
batch 1 loss: 0.6615979075431824 	 early: 0
batch 2 loss: 0.4502508044242859 	 early: 0
batch 3 loss: 0.7677513360977173 	 early: 1
batch 4 loss: 0.489073783159256 	 early: 2
batch 5 loss: 0.4034988582134247 	 early: 0
batch 6 loss: 0.39581558108329773 	 early: 0
batch 7 loss: 0.3888789713382721 	 early: 0
batch 8 loss: 0.38038012385368347 	 early: 0
batch 9 loss: 0.37596115469932556 	 early: 0
batch 10 loss: 0.3709025979042053 	 early: 0
batch 11 loss: 0.3637383282184601 	 early: 0
batch 12 loss: 0.3543176054954529 	 early: 0
batch 13 loss: 0.34688445925712585 	 early: 0
batch 14 loss: 0.34109413623809814 	 early: 0
batch 15 loss: 0.33158668875694275 	 early: 0
batch 16 loss: 0.3347852826118469 	 early: 1
batch 17 loss: 0.33135002851486206 	 early: 0
batch 18 loss: 0.3395557999610901 	 early: 1
batch 19 loss: 0.3265857696533203 	 early: 0
batch 20 loss: 0.3186659812927246 	 early: 0
batch 21 loss: 0.3193783164024353 	 early: 1
batch 22 loss: 0.32867884635925293 	 early: 2
batch 23 loss: 0.3120618760585785 	 early: 0
batch 24 loss: 0.3032315671443939 	 early: 0
batch 25 loss: 0.3062994182109833 	 early: 1
batch 26 loss: 0.3001628518104553 	 early: 0
batch 27 loss: 0.30189386010169983 	 early: 1
batch 28 loss: 0.30626359581947327 	 early: 2
batch 29 loss: 0.28683772683143616 	 early: 0
batch 30 loss: 0.28336212038993835 	 early: 0
batch 31 loss: 0.28437837958335876 	 early: 1
batch 32 loss: 0.2886519134044647 	 early: 2
batch 33 loss: 0.2889639139175415 	 early: 3
