Namespace(alpha=0.2, att_dropout=0.5, cuda_available=True, cuda_device=0, embedding_path='logging/bitcoinOTC/bitcoinOTC_0_embedding.txt', epoches=2000, feature_dim=64, features_train='data/features/bitcoinOTC/bitcoinOTC_maxC_train0_features64_tsvd.pkl', interval=100, lr=0.01, model_path='logging/bitcoinOTC/bitcoinOTC_0_model.pkl', modify_input_features=True, net_test='data/train_test/bitcoinOTC/bitcoinOTC_maxC_test0.edgelist', net_train='data/train_test/bitcoinOTC/bitcoinOTC_maxC_train0.edgelist', nheads=2, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(5875, 64)
batch 0 loss: 0.7314274311065674 	 early: 0
batch 1 loss: 0.6612971425056458 	 early: 0
batch 2 loss: 0.44860488176345825 	 early: 0
batch 3 loss: 0.7669881582260132 	 early: 1
batch 4 loss: 0.4684689939022064 	 early: 2
batch 5 loss: 0.40118223428726196 	 early: 0
batch 6 loss: 0.3933858871459961 	 early: 0
batch 7 loss: 0.3836241364479065 	 early: 0
batch 8 loss: 0.37403517961502075 	 early: 0
batch 9 loss: 0.365317165851593 	 early: 0
batch 10 loss: 0.36050301790237427 	 early: 0
batch 11 loss: 0.3533889651298523 	 early: 0
batch 12 loss: 0.3484192192554474 	 early: 0
batch 13 loss: 0.3402576446533203 	 early: 0
batch 14 loss: 0.331704705953598 	 early: 0
batch 15 loss: 0.3250076174736023 	 early: 0
batch 16 loss: 0.3219701945781708 	 early: 0
batch 17 loss: 0.31659361720085144 	 early: 0
batch 18 loss: 0.3569272458553314 	 early: 1
batch 19 loss: 0.4013456106185913 	 early: 2
batch 20 loss: 0.32537296414375305 	 early: 3
batch 21 loss: 0.3043935000896454 	 early: 0
batch 22 loss: 0.3003776967525482 	 early: 0
batch 23 loss: 0.2989523112773895 	 early: 0
batch 24 loss: 0.29982876777648926 	 early: 1
batch 25 loss: 0.29654473066329956 	 early: 0
batch 26 loss: 0.28961604833602905 	 early: 0
batch 27 loss: 0.28653836250305176 	 early: 0
batch 28 loss: 0.2823690176010132 	 early: 0
batch 29 loss: 0.27995389699935913 	 early: 0
batch 30 loss: 0.27653878927230835 	 early: 0
batch 31 loss: 0.27575674653053284 	 early: 0
batch 32 loss: 0.2821175158023834 	 early: 1
batch 33 loss: 0.2858484089374542 	 early: 2
batch 34 loss: 0.3123706877231598 	 early: 3
batch 35 loss: 0.31993693113327026 	 early: 4
batch 36 loss: 0.2967356741428375 	 early: 5
batch 37 loss: 0.276858925819397 	 early: 6
batch 38 loss: 0.2710234820842743 	 early: 0
batch 39 loss: 0.2667102515697479 	 early: 0
batch 40 loss: 0.26786553859710693 	 early: 1
batch 41 loss: 0.26244792342185974 	 early: 0
batch 42 loss: 0.2655503749847412 	 early: 1
batch 43 loss: 0.2655905783176422 	 early: 2
batch 44 loss: 0.27103984355926514 	 early: 3
batch 45 loss: 0.2762492895126343 	 early: 4
batch 46 loss: 0.26777926087379456 	 early: 5
batch 47 loss: 0.2724077105522156 	 early: 6
batch 48 loss: 0.26749205589294434 	 early: 7
batch 49 loss: 0.25964123010635376 	 early: 0
batch 50 loss: 0.2527316212654114 	 early: 0
batch 51 loss: 0.2498174011707306 	 early: 0
batch 52 loss: 0.24684301018714905 	 early: 0
batch 53 loss: 0.2402244657278061 	 early: 0
batch 54 loss: 0.2405855655670166 	 early: 1
batch 55 loss: 0.2365940660238266 	 early: 0
batch 56 loss: 0.2347235232591629 	 early: 0
batch 57 loss: 0.23654897511005402 	 early: 1
batch 58 loss: 0.2425280064344406 	 early: 2
batch 59 loss: 0.24837233126163483 	 early: 3
batch 60 loss: 0.25843703746795654 	 early: 4
batch 61 loss: 0.2373356968164444 	 early: 5
batch 62 loss: 0.2352360039949417 	 early: 6
batch 63 loss: 0.23029020428657532 	 early: 0
batch 64 loss: 0.22369873523712158 	 early: 0
batch 65 loss: 0.22503265738487244 	 early: 1
batch 66 loss: 0.2200600951910019 	 early: 0
batch 67 loss: 0.22147218883037567 	 early: 1
batch 68 loss: 0.22403483092784882 	 early: 2
batch 69 loss: 0.22545726597309113 	 early: 3
batch 70 loss: 0.2239062786102295 	 early: 4
batch 71 loss: 0.2243906855583191 	 early: 5
batch 72 loss: 0.22008243203163147 	 early: 6
batch 73 loss: 0.22279144823551178 	 early: 7
batch 74 loss: 0.22076165676116943 	 early: 8
batch 75 loss: 0.2229176014661789 	 early: 9
batch 76 loss: 0.23178324103355408 	 early: 10
batch 77 loss: 0.2298387736082077 	 early: 11
batch 78 loss: 0.217416450381279 	 early: 0
batch 79 loss: 0.2173967957496643 	 early: 0
batch 80 loss: 0.2096664309501648 	 early: 0
batch 81 loss: 0.21522313356399536 	 early: 1
batch 82 loss: 0.20981846749782562 	 early: 2
batch 83 loss: 0.21008846163749695 	 early: 3
batch 84 loss: 0.20975849032402039 	 early: 4
batch 85 loss: 0.2085433304309845 	 early: 0
batch 86 loss: 0.20826104283332825 	 early: 0
batch 87 loss: 0.20840315520763397 	 early: 1
batch 88 loss: 0.20544086396694183 	 early: 0
batch 89 loss: 0.211527019739151 	 early: 1
batch 90 loss: 0.21038442850112915 	 early: 2
batch 91 loss: 0.2127380222082138 	 early: 3
batch 92 loss: 0.21111609041690826 	 early: 4
batch 93 loss: 0.21455660462379456 	 early: 5
batch 94 loss: 0.20718559622764587 	 early: 6
batch 95 loss: 0.2085321992635727 	 early: 7
batch 96 loss: 0.20833174884319305 	 early: 8
batch 97 loss: 0.20455138385295868 	 early: 0
batch 98 loss: 0.204107403755188 	 early: 0
batch 99 loss: 0.20706339180469513 	 early: 1
[[ 469  182]
 [ 138 3508]]
mlp_dir f1_mi 0.9255294391435885 f1_ma 0.8510037396431649 f1_wt 0.9244504227638523 f1_bi 0.9563794983642312 auc_p 0.9494140834009537 auc_l 0.8412902046136878
[[ 941  361]
 [ 279 7013]]
mlp_dou f1_mi 0.9255294391435885 f1_ma 0.8512974005487021 f1_wt 0.9245269643140793 f1_bi 0.9563616528024002 auc_p 0.9495391599741484 auc_l 0.8422365734643441
batch 100 loss: 0.20654204487800598 	 early: 2
batch 101 loss: 0.206626296043396 	 early: 3
batch 102 loss: 0.2082640528678894 	 early: 4
batch 103 loss: 0.20029744505882263 	 early: 0
batch 104 loss: 0.2011658102273941 	 early: 1
batch 105 loss: 0.20381294190883636 	 early: 2
batch 106 loss: 0.2012740969657898 	 early: 3
batch 107 loss: 0.2073909491300583 	 early: 4
batch 108 loss: 0.20359955728054047 	 early: 5
batch 109 loss: 0.20458774268627167 	 early: 6
batch 110 loss: 0.2001354843378067 	 early: 0
batch 111 loss: 0.20443414151668549 	 early: 1
batch 112 loss: 0.19691529870033264 	 early: 0
batch 113 loss: 0.19318141043186188 	 early: 0
batch 114 loss: 0.1916559785604477 	 early: 0
batch 115 loss: 0.19134987890720367 	 early: 0
batch 116 loss: 0.1922488957643509 	 early: 1
batch 117 loss: 0.18918496370315552 	 early: 0
batch 118 loss: 0.18817518651485443 	 early: 0
batch 119 loss: 0.1835104525089264 	 early: 0
batch 120 loss: 0.18427595496177673 	 early: 1
batch 121 loss: 0.18442603945732117 	 early: 2
batch 122 loss: 0.1883518546819687 	 early: 3
batch 123 loss: 0.18567830324172974 	 early: 4
batch 124 loss: 0.18827782571315765 	 early: 5
batch 125 loss: 0.1907763034105301 	 early: 6
batch 126 loss: 0.19396354258060455 	 early: 7
batch 127 loss: 0.198390394449234 	 early: 8
batch 128 loss: 0.2016514390707016 	 early: 9
batch 129 loss: 0.200860396027565 	 early: 10
batch 130 loss: 0.19002994894981384 	 early: 11
batch 131 loss: 0.18750128149986267 	 early: 12
batch 132 loss: 0.1855742484331131 	 early: 13
batch 133 loss: 0.17710267007350922 	 early: 0
batch 134 loss: 0.18057970702648163 	 early: 1
batch 135 loss: 0.17911887168884277 	 early: 2
batch 136 loss: 0.1827268898487091 	 early: 3
batch 137 loss: 0.17623712122440338 	 early: 0
batch 138 loss: 0.17760694026947021 	 early: 1
batch 139 loss: 0.1796879917383194 	 early: 2
batch 140 loss: 0.17861631512641907 	 early: 3
batch 141 loss: 0.17674975097179413 	 early: 4
batch 142 loss: 0.17565681040287018 	 early: 0
batch 143 loss: 0.1741316020488739 	 early: 0
batch 144 loss: 0.1779749095439911 	 early: 1
batch 145 loss: 0.1742289811372757 	 early: 2
batch 146 loss: 0.17423617839813232 	 early: 3
batch 147 loss: 0.17505031824111938 	 early: 4
batch 148 loss: 0.1712811142206192 	 early: 0
batch 149 loss: 0.1718343198299408 	 early: 1
batch 150 loss: 0.1730060577392578 	 early: 2
batch 151 loss: 0.17724400758743286 	 early: 3
batch 152 loss: 0.1766360104084015 	 early: 4
batch 153 loss: 0.18559233844280243 	 early: 5
batch 154 loss: 0.19899329543113708 	 early: 6
batch 155 loss: 0.20406363904476166 	 early: 7
batch 156 loss: 0.1995972990989685 	 early: 8
batch 157 loss: 0.1844661980867386 	 early: 9
batch 158 loss: 0.17896956205368042 	 early: 10
batch 159 loss: 0.17449329793453217 	 early: 11
batch 160 loss: 0.17552325129508972 	 early: 12
batch 161 loss: 0.17595809698104858 	 early: 13
batch 162 loss: 0.17128786444664001 	 early: 14
batch 163 loss: 0.16875220835208893 	 early: 0
batch 164 loss: 0.17114120721817017 	 early: 1
batch 165 loss: 0.17170986533164978 	 early: 2
batch 166 loss: 0.1714802086353302 	 early: 3
