Namespace(alpha=0.2, att_dropout=0.5, cuda_available=True, cuda_device=0, embedding_path='logging/bitcoinAlpha/bitcoinAlpha_4_embedding.txt', epoches=2000, feature_dim=64, features_train='data/features/bitcoinAlpha/bitcoinAlpha_maxC_train4_features64_tsvd.pkl', interval=100, lr=0.01, model_path='logging/bitcoinAlpha/bitcoinAlpha_4_model.pkl', modify_input_features=True, net_test='data/train_test/bitcoinAlpha/bitcoinAlpha_maxC_test4.edgelist', net_train='data/train_test/bitcoinAlpha/bitcoinAlpha_maxC_train4.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(3775, 64)
batch 0 loss: 0.7163625359535217 	 early: 0
batch 1 loss: 0.6755810976028442 	 early: 0
batch 2 loss: 0.5587943196296692 	 early: 0
batch 3 loss: 0.32888373732566833 	 early: 0
batch 4 loss: 0.3609105944633484 	 early: 1
batch 5 loss: 0.38964730501174927 	 early: 2
batch 6 loss: 0.35588502883911133 	 early: 3
batch 7 loss: 0.2932916581630707 	 early: 0
batch 8 loss: 0.2910839915275574 	 early: 0
batch 9 loss: 0.2858685851097107 	 early: 0
batch 10 loss: 0.28356271982192993 	 early: 0
batch 11 loss: 0.2823660671710968 	 early: 0
batch 12 loss: 0.2746371030807495 	 early: 0
batch 13 loss: 0.27387386560440063 	 early: 0
batch 14 loss: 0.2674597501754761 	 early: 0
batch 15 loss: 0.26308897137641907 	 early: 0
batch 16 loss: 0.25948330760002136 	 early: 0
batch 17 loss: 0.2656976878643036 	 early: 1
batch 18 loss: 0.2685106098651886 	 early: 2
batch 19 loss: 0.2688831090927124 	 early: 3
batch 20 loss: 0.2503141760826111 	 early: 0
batch 21 loss: 0.2408597320318222 	 early: 0
batch 22 loss: 0.23692001402378082 	 early: 0
batch 23 loss: 0.2323620319366455 	 early: 0
batch 24 loss: 0.23251594603061676 	 early: 1
batch 25 loss: 0.23825447261333466 	 early: 2
batch 26 loss: 0.24037183821201324 	 early: 3
batch 27 loss: 0.24690689146518707 	 early: 4
batch 28 loss: 0.22997018694877625 	 early: 0
batch 29 loss: 0.22811008989810944 	 early: 0
batch 30 loss: 0.2257276177406311 	 early: 0
batch 31 loss: 0.22274690866470337 	 early: 0
batch 32 loss: 0.21727651357650757 	 early: 0
batch 33 loss: 0.21458850800991058 	 early: 0
batch 34 loss: 0.213412344455719 	 early: 0
batch 35 loss: 0.20998741686344147 	 early: 0
batch 36 loss: 0.21092140674591064 	 early: 1
batch 37 loss: 0.20941069722175598 	 early: 0
batch 38 loss: 0.20683717727661133 	 early: 0
batch 39 loss: 0.20855829119682312 	 early: 1
batch 40 loss: 0.23287808895111084 	 early: 2
batch 41 loss: 0.23649731278419495 	 early: 3
batch 42 loss: 0.2641145884990692 	 early: 4
batch 43 loss: 0.21695855259895325 	 early: 5
batch 44 loss: 0.2083325833082199 	 early: 6
batch 45 loss: 0.20795275270938873 	 early: 7
batch 46 loss: 0.20413784682750702 	 early: 0
batch 47 loss: 0.20330069959163666 	 early: 0
batch 48 loss: 0.20044434070587158 	 early: 0
batch 49 loss: 0.1978166252374649 	 early: 0
batch 50 loss: 0.20013761520385742 	 early: 1
batch 51 loss: 0.19782641530036926 	 early: 2
batch 52 loss: 0.19503577053546906 	 early: 0
batch 53 loss: 0.19523927569389343 	 early: 1
batch 54 loss: 0.1982020139694214 	 early: 2
batch 55 loss: 0.2015778124332428 	 early: 3
batch 56 loss: 0.20964375138282776 	 early: 4
batch 57 loss: 0.20785290002822876 	 early: 5
batch 58 loss: 0.2142932116985321 	 early: 6
batch 59 loss: 0.20461979508399963 	 early: 7
batch 60 loss: 0.19962337613105774 	 early: 8
batch 61 loss: 0.19612762331962585 	 early: 9
batch 62 loss: 0.19181662797927856 	 early: 0
batch 63 loss: 0.1915629357099533 	 early: 0
batch 64 loss: 0.19144895672798157 	 early: 0
batch 65 loss: 0.1903635412454605 	 early: 0
batch 66 loss: 0.1917969137430191 	 early: 1
batch 67 loss: 0.18966016173362732 	 early: 0
batch 68 loss: 0.1912505179643631 	 early: 1
batch 69 loss: 0.19748923182487488 	 early: 2
batch 70 loss: 0.1998852640390396 	 early: 3
batch 71 loss: 0.1982439160346985 	 early: 4
batch 72 loss: 0.193291574716568 	 early: 5
batch 73 loss: 0.19238939881324768 	 early: 6
batch 74 loss: 0.18791590631008148 	 early: 0
batch 75 loss: 0.18462622165679932 	 early: 0
batch 76 loss: 0.18814297020435333 	 early: 1
batch 77 loss: 0.18385040760040283 	 early: 0
batch 78 loss: 0.18438294529914856 	 early: 1
batch 79 loss: 0.18357686698436737 	 early: 0
batch 80 loss: 0.18678663671016693 	 early: 1
batch 81 loss: 0.18563178181648254 	 early: 2
batch 82 loss: 0.1860889494419098 	 early: 3
batch 83 loss: 0.18559031188488007 	 early: 4
batch 84 loss: 0.19122660160064697 	 early: 5
batch 85 loss: 0.1960621178150177 	 early: 6
batch 86 loss: 0.20208685100078583 	 early: 7
batch 87 loss: 0.1991589516401291 	 early: 8
batch 88 loss: 0.192215234041214 	 early: 9
batch 89 loss: 0.1847161501646042 	 early: 10
batch 90 loss: 0.18160352110862732 	 early: 0
batch 91 loss: 0.1833198219537735 	 early: 1
batch 92 loss: 0.18263821303844452 	 early: 2
batch 93 loss: 0.18054744601249695 	 early: 0
batch 94 loss: 0.18457692861557007 	 early: 1
batch 95 loss: 0.1845964789390564 	 early: 2
batch 96 loss: 0.18658632040023804 	 early: 3
batch 97 loss: 0.187526673078537 	 early: 4
batch 98 loss: 0.1890977919101715 	 early: 5
batch 99 loss: 0.18888820707798004 	 early: 6
[[ 159  120]
 [  90 2454]]
mlp_dir f1_mi 0.9256110520722636 f1_ma 0.7806205371416393 f1_wt 0.9237157512234973 f1_bi 0.958968347010551 auc_p 0.9189251256734519 auc_l 0.7672575573138567
[[ 320  238]
 [ 182 4906]]
mlp_dou f1_mi 0.9256110520722636 f1_ma 0.7813629456975526 f1_wt 0.9238496273106013 f1_bi 0.9589523064894449 auc_p 0.9188930733076351 auc_l 0.7688531311286942
batch 100 loss: 0.18372607231140137 	 early: 7
batch 101 loss: 0.1836886703968048 	 early: 8
batch 102 loss: 0.1828734576702118 	 early: 9
batch 103 loss: 0.18180035054683685 	 early: 10
batch 104 loss: 0.17667295038700104 	 early: 0
batch 105 loss: 0.17996405065059662 	 early: 1
batch 106 loss: 0.18116192519664764 	 early: 2
batch 107 loss: 0.17961852252483368 	 early: 3
batch 108 loss: 0.1781817078590393 	 early: 4
batch 109 loss: 0.1790265142917633 	 early: 5
batch 110 loss: 0.17998135089874268 	 early: 6
batch 111 loss: 0.18561361730098724 	 early: 7
batch 112 loss: 0.18242307007312775 	 early: 8
batch 113 loss: 0.18836461007595062 	 early: 9
batch 114 loss: 0.18115396797657013 	 early: 10
batch 115 loss: 0.18110987544059753 	 early: 11
batch 116 loss: 0.17985345423221588 	 early: 12
batch 117 loss: 0.179974764585495 	 early: 13
batch 118 loss: 0.1769142746925354 	 early: 14
batch 119 loss: 0.17743898928165436 	 early: 15
batch 120 loss: 0.17595461010932922 	 early: 0
batch 121 loss: 0.17240631580352783 	 early: 0
batch 122 loss: 0.17487604916095734 	 early: 1
batch 123 loss: 0.1757948100566864 	 early: 2
batch 124 loss: 0.1785259246826172 	 early: 3
batch 125 loss: 0.17674677073955536 	 early: 4
batch 126 loss: 0.17861266434192657 	 early: 5
batch 127 loss: 0.18127959966659546 	 early: 6
batch 128 loss: 0.18255522847175598 	 early: 7
batch 129 loss: 0.17661800980567932 	 early: 8
batch 130 loss: 0.174615740776062 	 early: 9
batch 131 loss: 0.17510701715946198 	 early: 10
batch 132 loss: 0.17392341792583466 	 early: 11
batch 133 loss: 0.17408113181591034 	 early: 12
batch 134 loss: 0.1729539930820465 	 early: 13
batch 135 loss: 0.1742304116487503 	 early: 14
batch 136 loss: 0.17354241013526917 	 early: 15
batch 137 loss: 0.1706371307373047 	 early: 0
batch 138 loss: 0.1748628467321396 	 early: 1
batch 139 loss: 0.16851912438869476 	 early: 0
batch 140 loss: 0.1704108566045761 	 early: 1
batch 141 loss: 0.16839854419231415 	 early: 0
batch 142 loss: 0.1669478416442871 	 early: 0
batch 143 loss: 0.17152796685695648 	 early: 1
batch 144 loss: 0.17250670492649078 	 early: 2
batch 145 loss: 0.18370865285396576 	 early: 3
batch 146 loss: 0.18178677558898926 	 early: 4
batch 147 loss: 0.18800732493400574 	 early: 5
batch 148 loss: 0.17813065648078918 	 early: 6
batch 149 loss: 0.17468342185020447 	 early: 7
batch 150 loss: 0.1704062819480896 	 early: 8
batch 151 loss: 0.16953957080841064 	 early: 9
batch 152 loss: 0.17117808759212494 	 early: 10
batch 153 loss: 0.16843388974666595 	 early: 11
batch 154 loss: 0.16614998877048492 	 early: 0
batch 155 loss: 0.1700173318386078 	 early: 1
batch 156 loss: 0.1673116534948349 	 early: 2
batch 157 loss: 0.1665859818458557 	 early: 3
batch 158 loss: 0.16667361557483673 	 early: 4
batch 159 loss: 0.16411541402339935 	 early: 0
batch 160 loss: 0.1654944270849228 	 early: 1
batch 161 loss: 0.16519376635551453 	 early: 2
batch 162 loss: 0.16754348576068878 	 early: 3
batch 163 loss: 0.16437534987926483 	 early: 4
batch 164 loss: 0.16829019784927368 	 early: 5
batch 165 loss: 0.16655968129634857 	 early: 6
batch 166 loss: 0.1686752438545227 	 early: 7
batch 167 loss: 0.17917880415916443 	 early: 8
batch 168 loss: 0.1746760606765747 	 early: 9
batch 169 loss: 0.1711428463459015 	 early: 10
batch 170 loss: 0.16757838428020477 	 early: 11
batch 171 loss: 0.1689852476119995 	 early: 12
batch 172 loss: 0.17148980498313904 	 early: 13
batch 173 loss: 0.16956770420074463 	 early: 14
batch 174 loss: 0.16594895720481873 	 early: 15
batch 175 loss: 0.16279810667037964 	 early: 0
batch 176 loss: 0.15998247265815735 	 early: 0
batch 177 loss: 0.16546738147735596 	 early: 1
batch 178 loss: 0.16200627386569977 	 early: 2
batch 179 loss: 0.165122389793396 	 early: 3
batch 180 loss: 0.16571861505508423 	 early: 4
batch 181 loss: 0.16386914253234863 	 early: 5
batch 182 loss: 0.16255037486553192 	 early: 6
batch 183 loss: 0.1622343808412552 	 early: 7
batch 184 loss: 0.16168023645877838 	 early: 8
batch 185 loss: 0.16298110783100128 	 early: 9
batch 186 loss: 0.16053588688373566 	 early: 10
batch 187 loss: 0.16117481887340546 	 early: 11
batch 188 loss: 0.16080869734287262 	 early: 12
batch 189 loss: 0.1607130616903305 	 early: 13
batch 190 loss: 0.15963377058506012 	 early: 0
batch 191 loss: 0.16282722353935242 	 early: 1
batch 192 loss: 0.1634371429681778 	 early: 2
batch 193 loss: 0.16198009252548218 	 early: 3
batch 194 loss: 0.16035562753677368 	 early: 4
batch 195 loss: 0.1612885296344757 	 early: 5
batch 196 loss: 0.16029685735702515 	 early: 6
batch 197 loss: 0.1578645557165146 	 early: 0
batch 198 loss: 0.15932464599609375 	 early: 1
batch 199 loss: 0.16054224967956543 	 early: 2
[[ 165  114]
 [  74 2470]]
mlp_dir f1_mi 0.9334041799504074 f1_ma 0.8002020853034894 f1_wt 0.9310926468545825 f1_bi 0.9633385335413417 auc_p 0.931007810914993 auc_l 0.78115489957395
[[ 328  230]
 [ 148 4940]]
mlp_dou f1_mi 0.9330499468650372 f1_ma 0.7987900560132716 f1_wt 0.9306628455966407 f1_bi 0.963150711639696 auc_p 0.9308257112102973 auc_l 0.7793627848786095
batch 200 loss: 0.15885397791862488 	 early: 3
batch 201 loss: 0.1620303839445114 	 early: 4
batch 202 loss: 0.16519694030284882 	 early: 5
batch 203 loss: 0.17257370054721832 	 early: 6
batch 204 loss: 0.1690485179424286 	 early: 7
batch 205 loss: 0.16818760335445404 	 early: 8
batch 206 loss: 0.16547739505767822 	 early: 9
batch 207 loss: 0.16427281498908997 	 early: 10
batch 208 loss: 0.16266073286533356 	 early: 11
batch 209 loss: 0.16221892833709717 	 early: 12
batch 210 loss: 0.16520652174949646 	 early: 13
batch 211 loss: 0.16642580926418304 	 early: 14
batch 212 loss: 0.1608717143535614 	 early: 15
batch 213 loss: 0.160404771566391 	 early: 16
batch 214 loss: 0.15885116159915924 	 early: 17
batch 215 loss: 0.16275958716869354 	 early: 18
batch 216 loss: 0.1617986559867859 	 early: 19
batch 217 loss: 0.16375024616718292 	 early: 20
batch 218 loss: 0.15968841314315796 	 early: 21
batch 219 loss: 0.15927979350090027 	 early: 22
batch 220 loss: 0.1562793254852295 	 early: 0
batch 221 loss: 0.15992939472198486 	 early: 1
batch 222 loss: 0.156805619597435 	 early: 2
batch 223 loss: 0.15520957112312317 	 early: 0
batch 224 loss: 0.15929697453975677 	 early: 1
batch 225 loss: 0.15748459100723267 	 early: 2
batch 226 loss: 0.15900743007659912 	 early: 3
batch 227 loss: 0.15546809136867523 	 early: 4
batch 228 loss: 0.1554301381111145 	 early: 5
batch 229 loss: 0.15770387649536133 	 early: 6
batch 230 loss: 0.1564769446849823 	 early: 7
batch 231 loss: 0.15362510085105896 	 early: 0
batch 232 loss: 0.1554570496082306 	 early: 1
batch 233 loss: 0.15362942218780518 	 early: 2
batch 234 loss: 0.154013991355896 	 early: 3
batch 235 loss: 0.156334787607193 	 early: 4
batch 236 loss: 0.16161708533763885 	 early: 5
batch 237 loss: 0.1666397899389267 	 early: 6
batch 238 loss: 0.17317533493041992 	 early: 7
batch 239 loss: 0.1665259301662445 	 early: 8
batch 240 loss: 0.16406109929084778 	 early: 9
batch 241 loss: 0.1579754501581192 	 early: 10
batch 242 loss: 0.1606636792421341 	 early: 11
batch 243 loss: 0.15509939193725586 	 early: 12
batch 244 loss: 0.15557923913002014 	 early: 13
batch 245 loss: 0.15522857010364532 	 early: 14
batch 246 loss: 0.15520955622196198 	 early: 15
batch 247 loss: 0.15469112992286682 	 early: 16
batch 248 loss: 0.15399035811424255 	 early: 17
batch 249 loss: 0.1553117036819458 	 early: 18
batch 250 loss: 0.15574438869953156 	 early: 19
batch 251 loss: 0.15610812604427338 	 early: 20
batch 252 loss: 0.15816618502140045 	 early: 21
batch 253 loss: 0.16246992349624634 	 early: 22
batch 254 loss: 0.16579638421535492 	 early: 23
batch 255 loss: 0.15654216706752777 	 early: 24
batch 256 loss: 0.15499161183834076 	 early: 25
batch 257 loss: 0.15604767203330994 	 early: 26
batch 258 loss: 0.15652599930763245 	 early: 27
batch 259 loss: 0.15283358097076416 	 early: 0
batch 260 loss: 0.14904873073101044 	 early: 0
batch 261 loss: 0.14983288943767548 	 early: 1
batch 262 loss: 0.14930438995361328 	 early: 2
batch 263 loss: 0.1497904360294342 	 early: 3
batch 264 loss: 0.15136587619781494 	 early: 4
batch 265 loss: 0.15103165805339813 	 early: 5
batch 266 loss: 0.15424858033657074 	 early: 6
batch 267 loss: 0.15813539922237396 	 early: 7
batch 268 loss: 0.1564679741859436 	 early: 8
batch 269 loss: 0.15933379530906677 	 early: 9
batch 270 loss: 0.15488092601299286 	 early: 10
batch 271 loss: 0.15341459214687347 	 early: 11
batch 272 loss: 0.1499834507703781 	 early: 12
batch 273 loss: 0.15283793210983276 	 early: 13
batch 274 loss: 0.15162824094295502 	 early: 14
batch 275 loss: 0.15225721895694733 	 early: 15
batch 276 loss: 0.14916475117206573 	 early: 16
batch 277 loss: 0.15134061872959137 	 early: 17
batch 278 loss: 0.1486704796552658 	 early: 0
batch 279 loss: 0.14695046842098236 	 early: 0
batch 280 loss: 0.1487598866224289 	 early: 1
batch 281 loss: 0.14834380149841309 	 early: 2
batch 282 loss: 0.1489245444536209 	 early: 3
batch 283 loss: 0.14924098551273346 	 early: 4
batch 284 loss: 0.14815834164619446 	 early: 5
batch 285 loss: 0.1506018191576004 	 early: 6
batch 286 loss: 0.15380221605300903 	 early: 7
batch 287 loss: 0.14985424280166626 	 early: 8
batch 288 loss: 0.15347082912921906 	 early: 9
batch 289 loss: 0.1611829549074173 	 early: 10
batch 290 loss: 0.1617031991481781 	 early: 11
batch 291 loss: 0.16152603924274445 	 early: 12
batch 292 loss: 0.1520216464996338 	 early: 13
batch 293 loss: 0.15000389516353607 	 early: 14
batch 294 loss: 0.15001451969146729 	 early: 15
batch 295 loss: 0.1493435651063919 	 early: 16
batch 296 loss: 0.1487751454114914 	 early: 17
batch 297 loss: 0.14355801045894623 	 early: 0
batch 298 loss: 0.14608854055404663 	 early: 1
batch 299 loss: 0.14522826671600342 	 early: 2
[[ 163  116]
 [  59 2485]]
mlp_dir f1_mi 0.9380092100602196 f1_ma 0.8083424986761172 f1_wt 0.9348261770934264 f1_bi 0.9659863945578232 auc_p 0.9378860372850025 auc_l 0.7805187833908164
[[ 326  232]
 [ 119 4969]]
mlp_dou f1_mi 0.9378320935175345 f1_ma 0.8079678740045778 f1_wt 0.9346714954548675 f1_bi 0.9658858975605016 auc_p 0.9378347887220757 auc_l 0.7804205129505648
batch 300 loss: 0.14524705708026886 	 early: 3
batch 301 loss: 0.14531558752059937 	 early: 4
batch 302 loss: 0.14330196380615234 	 early: 0
batch 303 loss: 0.14550966024398804 	 early: 1
batch 304 loss: 0.14255480468273163 	 early: 0
batch 305 loss: 0.14484645426273346 	 early: 1
batch 306 loss: 0.14531750977039337 	 early: 2
batch 307 loss: 0.14705806970596313 	 early: 3
batch 308 loss: 0.14954963326454163 	 early: 4
batch 309 loss: 0.14892256259918213 	 early: 5
batch 310 loss: 0.14678272604942322 	 early: 6
batch 311 loss: 0.14577998220920563 	 early: 7
batch 312 loss: 0.1447887420654297 	 early: 8
batch 313 loss: 0.14367958903312683 	 early: 9
batch 314 loss: 0.14794538915157318 	 early: 10
batch 315 loss: 0.14642556011676788 	 early: 11
batch 316 loss: 0.14536507427692413 	 early: 12
batch 317 loss: 0.14875474572181702 	 early: 13
batch 318 loss: 0.15443751215934753 	 early: 14
batch 319 loss: 0.15033717453479767 	 early: 15
batch 320 loss: 0.14600850641727448 	 early: 16
batch 321 loss: 0.14370609819889069 	 early: 17
batch 322 loss: 0.14221826195716858 	 early: 0
batch 323 loss: 0.14194510877132416 	 early: 0
batch 324 loss: 0.1401822715997696 	 early: 0
batch 325 loss: 0.14275667071342468 	 early: 1
batch 326 loss: 0.1396041065454483 	 early: 0
batch 327 loss: 0.1431303471326828 	 early: 1
batch 328 loss: 0.1418783813714981 	 early: 2
batch 329 loss: 0.14111140370368958 	 early: 3
batch 330 loss: 0.13974180817604065 	 early: 4
batch 331 loss: 0.1414642482995987 	 early: 5
batch 332 loss: 0.14115245640277863 	 early: 6
batch 333 loss: 0.14253531396389008 	 early: 7
batch 334 loss: 0.14200972020626068 	 early: 8
batch 335 loss: 0.14192064106464386 	 early: 9
