Namespace(alpha=0.2, att_dropout=0.5, cuda_available=True, cuda_device=0, embedding_path='logging/bitcoinAlpha/bitcoinAlpha_3_embedding.txt', epoches=2000, feature_dim=64, features_train='data/features/bitcoinAlpha/bitcoinAlpha_maxC_train3_features64_tsvd.pkl', interval=100, lr=0.01, model_path='logging/bitcoinAlpha/bitcoinAlpha_3_model.pkl', modify_input_features=True, net_test='data/train_test/bitcoinAlpha/bitcoinAlpha_maxC_test3.edgelist', net_train='data/train_test/bitcoinAlpha/bitcoinAlpha_maxC_train3.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(3775, 64)
batch 0 loss: 0.716357409954071 	 early: 0
batch 1 loss: 0.6759548187255859 	 early: 0
batch 2 loss: 0.5603675842285156 	 early: 0
batch 3 loss: 0.32935968041419983 	 early: 0
batch 4 loss: 0.37378114461898804 	 early: 1
batch 5 loss: 0.3530939519405365 	 early: 2
batch 6 loss: 0.34201839566230774 	 early: 3
batch 7 loss: 0.2922859787940979 	 early: 0
batch 8 loss: 0.2894912362098694 	 early: 0
batch 9 loss: 0.2821575999259949 	 early: 0
batch 10 loss: 0.28091317415237427 	 early: 0
batch 11 loss: 0.27684977650642395 	 early: 0
batch 12 loss: 0.2739192247390747 	 early: 0
batch 13 loss: 0.2719556391239166 	 early: 0
batch 14 loss: 0.27076631784439087 	 early: 0
batch 15 loss: 0.26627781987190247 	 early: 0
batch 16 loss: 0.2642962634563446 	 early: 0
batch 17 loss: 0.2603902816772461 	 early: 0
batch 18 loss: 0.25765880942344666 	 early: 0
batch 19 loss: 0.2492806315422058 	 early: 0
batch 20 loss: 0.24459296464920044 	 early: 0
batch 21 loss: 0.2392691969871521 	 early: 0
batch 22 loss: 0.23457838594913483 	 early: 0
batch 23 loss: 0.2329551726579666 	 early: 0
batch 24 loss: 0.23978857696056366 	 early: 1
batch 25 loss: 0.24509920179843903 	 early: 2
batch 26 loss: 0.24759230017662048 	 early: 3
batch 27 loss: 0.2300969511270523 	 early: 0
batch 28 loss: 0.2237735241651535 	 early: 0
batch 29 loss: 0.21705704927444458 	 early: 0
batch 30 loss: 0.21565160155296326 	 early: 0
batch 31 loss: 0.21413302421569824 	 early: 0
batch 32 loss: 0.21375532448291779 	 early: 0
batch 33 loss: 0.20827887952327728 	 early: 0
batch 34 loss: 0.20978005230426788 	 early: 1
batch 35 loss: 0.20892995595932007 	 early: 2
batch 36 loss: 0.21483731269836426 	 early: 3
batch 37 loss: 0.23138754069805145 	 early: 4
batch 38 loss: 0.25900423526763916 	 early: 5
batch 39 loss: 0.21260684728622437 	 early: 6
batch 40 loss: 0.20735155045986176 	 early: 0
batch 41 loss: 0.20335866510868073 	 early: 0
batch 42 loss: 0.20363150537014008 	 early: 1
batch 43 loss: 0.20018219947814941 	 early: 0
batch 44 loss: 0.2014698088169098 	 early: 1
batch 45 loss: 0.1988414227962494 	 early: 0
batch 46 loss: 0.1995631605386734 	 early: 1
batch 47 loss: 0.196593776345253 	 early: 0
batch 48 loss: 0.19530437886714935 	 early: 0
batch 49 loss: 0.19524569809436798 	 early: 0
batch 50 loss: 0.1945505142211914 	 early: 0
batch 51 loss: 0.19548927247524261 	 early: 1
batch 52 loss: 0.20292750000953674 	 early: 2
batch 53 loss: 0.21854157745838165 	 early: 3
batch 54 loss: 0.2552129924297333 	 early: 4
batch 55 loss: 0.2052193135023117 	 early: 5
batch 56 loss: 0.1993258148431778 	 early: 6
batch 57 loss: 0.19544415175914764 	 early: 7
batch 58 loss: 0.1931394338607788 	 early: 0
batch 59 loss: 0.19174163043498993 	 early: 0
batch 60 loss: 0.19077259302139282 	 early: 0
batch 61 loss: 0.1886880248785019 	 early: 0
batch 62 loss: 0.18727783858776093 	 early: 0
batch 63 loss: 0.1876630187034607 	 early: 1
batch 64 loss: 0.18816687166690826 	 early: 2
batch 65 loss: 0.18826356530189514 	 early: 3
batch 66 loss: 0.1922534704208374 	 early: 4
batch 67 loss: 0.1872803270816803 	 early: 5
batch 68 loss: 0.1856965273618698 	 early: 0
batch 69 loss: 0.1862524151802063 	 early: 1
batch 70 loss: 0.1860874593257904 	 early: 2
batch 71 loss: 0.18622776865959167 	 early: 3
batch 72 loss: 0.1878127157688141 	 early: 4
batch 73 loss: 0.187599778175354 	 early: 5
batch 74 loss: 0.18909601867198944 	 early: 6
batch 75 loss: 0.18753334879875183 	 early: 7
batch 76 loss: 0.19665437936782837 	 early: 8
batch 77 loss: 0.18845504522323608 	 early: 9
batch 78 loss: 0.18721944093704224 	 early: 10
batch 79 loss: 0.18448929488658905 	 early: 0
batch 80 loss: 0.18305960297584534 	 early: 0
batch 81 loss: 0.1821538507938385 	 early: 0
batch 82 loss: 0.17700843513011932 	 early: 0
batch 83 loss: 0.17803193628787994 	 early: 1
batch 84 loss: 0.17939431965351105 	 early: 2
batch 85 loss: 0.1788427084684372 	 early: 3
batch 86 loss: 0.1772739291191101 	 early: 4
batch 87 loss: 0.17887099087238312 	 early: 5
batch 88 loss: 0.17761197686195374 	 early: 6
batch 89 loss: 0.17794252932071686 	 early: 7
batch 90 loss: 0.17652443051338196 	 early: 0
batch 91 loss: 0.17816556990146637 	 early: 1
batch 92 loss: 0.1789059191942215 	 early: 2
batch 93 loss: 0.18289294838905334 	 early: 3
batch 94 loss: 0.18677453696727753 	 early: 4
batch 95 loss: 0.18567214906215668 	 early: 5
batch 96 loss: 0.18594186007976532 	 early: 6
batch 97 loss: 0.17799270153045654 	 early: 7
batch 98 loss: 0.1765182465314865 	 early: 0
batch 99 loss: 0.17771868407726288 	 early: 1
[[ 115  164]
 [  70 2474]]
mlp_dir f1_mi 0.9171094580233794 f1_ma 0.725266672433756 f1_wt 0.90946502315885 f1_bi 0.9548436896950984 auc_p 0.9067374777394558 auc_l 0.6923353283289375
[[ 227  331]
 [ 142 4946]]
mlp_dou f1_mi 0.9162238753099541 f1_ma 0.7220587707261024 f1_wt 0.9084473962325333 f1_bi 0.9543656536420646 auc_p 0.9064803543653208 auc_l 0.6894506154054236
batch 100 loss: 0.17542849481105804 	 early: 0
batch 101 loss: 0.1760663390159607 	 early: 1
batch 102 loss: 0.17825235426425934 	 early: 2
batch 103 loss: 0.17757244408130646 	 early: 3
batch 104 loss: 0.18628904223442078 	 early: 4
batch 105 loss: 0.18446289002895355 	 early: 5
batch 106 loss: 0.19022008776664734 	 early: 6
batch 107 loss: 0.1824464350938797 	 early: 7
batch 108 loss: 0.1784815490245819 	 early: 8
batch 109 loss: 0.17665785551071167 	 early: 9
batch 110 loss: 0.17337165772914886 	 early: 0
batch 111 loss: 0.17141111195087433 	 early: 0
batch 112 loss: 0.17251966893672943 	 early: 1
batch 113 loss: 0.176395982503891 	 early: 2
batch 114 loss: 0.17369550466537476 	 early: 3
batch 115 loss: 0.1719386726617813 	 early: 4
batch 116 loss: 0.17507056891918182 	 early: 5
batch 117 loss: 0.1741356998682022 	 early: 6
batch 118 loss: 0.17438070476055145 	 early: 7
batch 119 loss: 0.17535170912742615 	 early: 8
batch 120 loss: 0.17687062919139862 	 early: 9
batch 121 loss: 0.17842954397201538 	 early: 10
batch 122 loss: 0.18081575632095337 	 early: 11
batch 123 loss: 0.17728260159492493 	 early: 12
batch 124 loss: 0.17311105132102966 	 early: 13
batch 125 loss: 0.17069488763809204 	 early: 0
batch 126 loss: 0.17194432020187378 	 early: 1
batch 127 loss: 0.17042626440525055 	 early: 0
