Namespace(alpha=0.2, att_dropout=0.5, cuda_available=True, cuda_device=0, embedding_path='logging/bitcoinAlpha/bitcoinAlpha_1_embedding.txt', epoches=2000, feature_dim=64, features_train='data/features/bitcoinAlpha/bitcoinAlpha_maxC_train1_features64_tsvd.pkl', interval=100, lr=0.01, model_path='logging/bitcoinAlpha/bitcoinAlpha_1_model.pkl', modify_input_features=True, net_test='data/train_test/bitcoinAlpha/bitcoinAlpha_maxC_test1.edgelist', net_train='data/train_test/bitcoinAlpha/bitcoinAlpha_maxC_train1.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(3775, 64)
batch 0 loss: 0.716368556022644 	 early: 0
batch 1 loss: 0.6756543517112732 	 early: 0
batch 2 loss: 0.5607936978340149 	 early: 0
batch 3 loss: 0.3306213319301605 	 early: 0
batch 4 loss: 0.3693056106567383 	 early: 1
batch 5 loss: 0.36741623282432556 	 early: 2
batch 6 loss: 0.3487265706062317 	 early: 3
batch 7 loss: 0.2951403260231018 	 early: 0
batch 8 loss: 0.2889852523803711 	 early: 0
batch 9 loss: 0.28109827637672424 	 early: 0
batch 10 loss: 0.2800014317035675 	 early: 0
batch 11 loss: 0.27872079610824585 	 early: 0
batch 12 loss: 0.27309897541999817 	 early: 0
batch 13 loss: 0.27368757128715515 	 early: 1
batch 14 loss: 0.26587367057800293 	 early: 0
batch 15 loss: 0.2607380151748657 	 early: 0
batch 16 loss: 0.25864261388778687 	 early: 0
batch 17 loss: 0.26438090205192566 	 early: 1
batch 18 loss: 0.2634025514125824 	 early: 2
batch 19 loss: 0.2670222520828247 	 early: 3
batch 20 loss: 0.24771744012832642 	 early: 0
batch 21 loss: 0.2412816882133484 	 early: 0
batch 22 loss: 0.23853641748428345 	 early: 0
batch 23 loss: 0.2337978333234787 	 early: 0
batch 24 loss: 0.23113787174224854 	 early: 0
batch 25 loss: 0.22581051290035248 	 early: 0
batch 26 loss: 0.22348231077194214 	 early: 0
batch 27 loss: 0.2194572240114212 	 early: 0
batch 28 loss: 0.21961496770381927 	 early: 1
batch 29 loss: 0.2140320986509323 	 early: 0
batch 30 loss: 0.21528668701648712 	 early: 1
batch 31 loss: 0.23494862020015717 	 early: 2
batch 32 loss: 0.2883208394050598 	 early: 3
batch 33 loss: 0.29288703203201294 	 early: 4
batch 34 loss: 0.21923001110553741 	 early: 5
batch 35 loss: 0.21752625703811646 	 early: 6
batch 36 loss: 0.2160729467868805 	 early: 7
batch 37 loss: 0.21406236290931702 	 early: 8
batch 38 loss: 0.21414165198802948 	 early: 9
batch 39 loss: 0.20998376607894897 	 early: 0
batch 40 loss: 0.210023894906044 	 early: 1
batch 41 loss: 0.20791956782341003 	 early: 0
batch 42 loss: 0.21021795272827148 	 early: 1
batch 43 loss: 0.2066900134086609 	 early: 0
batch 44 loss: 0.2056267410516739 	 early: 0
batch 45 loss: 0.20484958589076996 	 early: 0
batch 46 loss: 0.20796561241149902 	 early: 1
batch 47 loss: 0.20281939208507538 	 early: 0
batch 48 loss: 0.2032935917377472 	 early: 1
batch 49 loss: 0.20101511478424072 	 early: 0
batch 50 loss: 0.20438069105148315 	 early: 1
batch 51 loss: 0.20381133258342743 	 early: 2
batch 52 loss: 0.20067213475704193 	 early: 0
batch 53 loss: 0.20259539783000946 	 early: 1
batch 54 loss: 0.2030857503414154 	 early: 2
batch 55 loss: 0.20530050992965698 	 early: 3
batch 56 loss: 0.20868758857250214 	 early: 4
batch 57 loss: 0.19978740811347961 	 early: 0
batch 58 loss: 0.19867867231369019 	 early: 0
batch 59 loss: 0.19979342818260193 	 early: 1
batch 60 loss: 0.19454701244831085 	 early: 0
batch 61 loss: 0.19203485548496246 	 early: 0
batch 62 loss: 0.1929933875799179 	 early: 1
batch 63 loss: 0.19177420437335968 	 early: 0
batch 64 loss: 0.1920275241136551 	 early: 1
batch 65 loss: 0.18963755667209625 	 early: 0
batch 66 loss: 0.19248872995376587 	 early: 1
batch 67 loss: 0.19052021205425262 	 early: 2
batch 68 loss: 0.19074586033821106 	 early: 3
batch 69 loss: 0.1885359138250351 	 early: 0
batch 70 loss: 0.19201719760894775 	 early: 1
batch 71 loss: 0.18869546055793762 	 early: 2
batch 72 loss: 0.18810009956359863 	 early: 0
batch 73 loss: 0.1875924915075302 	 early: 0
batch 74 loss: 0.18957450985908508 	 early: 1
batch 75 loss: 0.19025450944900513 	 early: 2
batch 76 loss: 0.20081381499767303 	 early: 3
batch 77 loss: 0.21291011571884155 	 early: 4
batch 78 loss: 0.2293795943260193 	 early: 5
batch 79 loss: 0.20132918655872345 	 early: 6
batch 80 loss: 0.19371649622917175 	 early: 7
batch 81 loss: 0.18950097262859344 	 early: 8
batch 82 loss: 0.1847480684518814 	 early: 0
batch 83 loss: 0.1858508288860321 	 early: 1
batch 84 loss: 0.1863587349653244 	 early: 2
batch 85 loss: 0.1832231879234314 	 early: 0
batch 86 loss: 0.18578165769577026 	 early: 1
batch 87 loss: 0.18473896384239197 	 early: 2
batch 88 loss: 0.18263714015483856 	 early: 0
batch 89 loss: 0.18308910727500916 	 early: 1
batch 90 loss: 0.1834183931350708 	 early: 2
batch 91 loss: 0.18557101488113403 	 early: 3
batch 92 loss: 0.18124449253082275 	 early: 0
batch 93 loss: 0.18198160827159882 	 early: 1
batch 94 loss: 0.1858266294002533 	 early: 2
batch 95 loss: 0.18679845333099365 	 early: 3
batch 96 loss: 0.18543535470962524 	 early: 4
batch 97 loss: 0.1852036416530609 	 early: 5
batch 98 loss: 0.18987026810646057 	 early: 6
batch 99 loss: 0.19159840047359467 	 early: 7
[[ 156  123]
 [  93 2451]]
mlp_dir f1_mi 0.9234856535600425 f1_ma 0.7743525524885431 f1_wt 0.9215362012584544 f1_bi 0.9577960140679953 auc_p 0.9268572056536146 auc_l 0.7612915905863258
[[ 312  246]
 [ 187 4901]]
mlp_dou f1_mi 0.9233085370173574 f1_ma 0.7740221169591238 f1_wt 0.9213891866614116 f1_bi 0.957694186614558 auc_p 0.9263658534523569 auc_l 0.7611933201460741
batch 100 loss: 0.18399876356124878 	 early: 8
batch 101 loss: 0.18437856435775757 	 early: 9
batch 102 loss: 0.1812559962272644 	 early: 10
batch 103 loss: 0.17977140843868256 	 early: 0
batch 104 loss: 0.17906640470027924 	 early: 0
batch 105 loss: 0.18274854123592377 	 early: 1
batch 106 loss: 0.1853749006986618 	 early: 2
batch 107 loss: 0.18317283689975739 	 early: 3
batch 108 loss: 0.18167628347873688 	 early: 4
batch 109 loss: 0.180006206035614 	 early: 5
batch 110 loss: 0.18246126174926758 	 early: 6
batch 111 loss: 0.17937907576560974 	 early: 7
batch 112 loss: 0.18553760647773743 	 early: 8
batch 113 loss: 0.18444499373435974 	 early: 9
batch 114 loss: 0.1835016906261444 	 early: 10
batch 115 loss: 0.18340370059013367 	 early: 11
batch 116 loss: 0.18375641107559204 	 early: 12
batch 117 loss: 0.18021638691425323 	 early: 13
batch 118 loss: 0.17824339866638184 	 early: 0
batch 119 loss: 0.18210050463676453 	 early: 1
batch 120 loss: 0.1776810884475708 	 early: 0
batch 121 loss: 0.17847676575183868 	 early: 1
batch 122 loss: 0.1782393455505371 	 early: 2
batch 123 loss: 0.1796126812696457 	 early: 3
batch 124 loss: 0.17578299343585968 	 early: 0
batch 125 loss: 0.17182128131389618 	 early: 0
batch 126 loss: 0.17399653792381287 	 early: 1
batch 127 loss: 0.17510394752025604 	 early: 2
batch 128 loss: 0.17511214315891266 	 early: 3
batch 129 loss: 0.17422538995742798 	 early: 4
batch 130 loss: 0.17513294517993927 	 early: 5
batch 131 loss: 0.1750694066286087 	 early: 6
batch 132 loss: 0.17105068266391754 	 early: 0
batch 133 loss: 0.17445367574691772 	 early: 1
batch 134 loss: 0.1743641048669815 	 early: 2
batch 135 loss: 0.17763251066207886 	 early: 3
batch 136 loss: 0.17648407816886902 	 early: 4
batch 137 loss: 0.17834413051605225 	 early: 5
batch 138 loss: 0.18278266489505768 	 early: 6
batch 139 loss: 0.18566180765628815 	 early: 7
batch 140 loss: 0.18459196388721466 	 early: 8
batch 141 loss: 0.1817466914653778 	 early: 9
batch 142 loss: 0.17762625217437744 	 early: 10
batch 143 loss: 0.17725719511508942 	 early: 11
batch 144 loss: 0.175885871052742 	 early: 12
batch 145 loss: 0.17668630182743073 	 early: 13
batch 146 loss: 0.17383892834186554 	 early: 14
batch 147 loss: 0.17983780801296234 	 early: 15
batch 148 loss: 0.17484775185585022 	 early: 16
batch 149 loss: 0.17253060638904572 	 early: 17
batch 150 loss: 0.1733403354883194 	 early: 18
batch 151 loss: 0.16804029047489166 	 early: 0
