Namespace(alpha=0.2, att_dropout=0.4, cuda_available=True, cuda_device=0, embedding_path='logging/epinions/epinions_4_embedding.txt', epoches=4000, feature_dim=64, features_train='data/features/epinions/epinions_maxC_train4_features64_tsvd.pkl', interval=200, lr=0.01, model_path='logging/epinions/epinions_4_model.pkl', modify_input_features=True, net_test='data/train_test/epinions/epinions_maxC_test4.edgelist', net_train='data/train_test/epinions/epinions_maxC_train4.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(45003, 64)
batch 0 loss: 0.7141857147216797 	 early: 0
batch 1 loss: 0.6682823300361633 	 early: 0
batch 2 loss: 0.5326926112174988 	 early: 0
batch 3 loss: 0.3592875003814697 	 early: 0
batch 4 loss: 0.38506460189819336 	 early: 1
batch 5 loss: 0.35283708572387695 	 early: 0
batch 6 loss: 0.3465941846370697 	 early: 0
batch 7 loss: 0.31223559379577637 	 early: 0
batch 8 loss: 0.30980154871940613 	 early: 0
batch 9 loss: 0.31036943197250366 	 early: 1
batch 10 loss: 0.29640305042266846 	 early: 0
batch 11 loss: 0.290608674287796 	 early: 0
batch 12 loss: 0.2847477197647095 	 early: 0
batch 13 loss: 0.28317639231681824 	 early: 0
batch 14 loss: 0.2784693241119385 	 early: 0
batch 15 loss: 0.278408944606781 	 early: 0
batch 16 loss: 0.2758968472480774 	 early: 0
batch 17 loss: 0.2782518267631531 	 early: 1
batch 18 loss: 0.27260950207710266 	 early: 0
batch 19 loss: 0.27262529730796814 	 early: 1
batch 20 loss: 0.26663100719451904 	 early: 0
batch 21 loss: 0.2656538486480713 	 early: 0
batch 22 loss: 0.2621297240257263 	 early: 0
batch 23 loss: 0.26331010460853577 	 early: 1
batch 24 loss: 0.26211681962013245 	 early: 0
batch 25 loss: 0.2674131691455841 	 early: 1
batch 26 loss: 0.25917768478393555 	 early: 0
batch 27 loss: 0.2589198648929596 	 early: 0
batch 28 loss: 0.2574600875377655 	 early: 0
batch 29 loss: 0.26105085015296936 	 early: 1
batch 30 loss: 0.2524259090423584 	 early: 0
batch 31 loss: 0.25070372223854065 	 early: 0
batch 32 loss: 0.24517038464546204 	 early: 0
batch 33 loss: 0.24419566988945007 	 early: 0
batch 34 loss: 0.24061480164527893 	 early: 0
batch 35 loss: 0.24235546588897705 	 early: 1
batch 36 loss: 0.24095340073108673 	 early: 2
batch 37 loss: 0.2451925128698349 	 early: 3
batch 38 loss: 0.24085086584091187 	 early: 4
batch 39 loss: 0.24182860553264618 	 early: 5
batch 40 loss: 0.2375195324420929 	 early: 0
batch 41 loss: 0.23844307661056519 	 early: 1
batch 42 loss: 0.2337028533220291 	 early: 0
batch 43 loss: 0.2346799224615097 	 early: 1
batch 44 loss: 0.23151949048042297 	 early: 0
batch 45 loss: 0.2330327033996582 	 early: 1
batch 46 loss: 0.22985120117664337 	 early: 0
batch 47 loss: 0.23207052052021027 	 early: 1
batch 48 loss: 0.22901298105716705 	 early: 0
batch 49 loss: 0.22821944952011108 	 early: 0
batch 50 loss: 0.22494791448116302 	 early: 0
