Namespace(alpha=0.2, att_dropout=0.4, cuda_available=True, cuda_device=0, embedding_path='logging/epinions/epinions_2_embedding.txt', epoches=4000, feature_dim=64, features_train='data/features/epinions/epinions_maxC_train2_features64_tsvd.pkl', interval=200, lr=0.01, model_path='logging/epinions/epinions_2_model.pkl', modify_input_features=True, net_test='data/train_test/epinions/epinions_maxC_test2.edgelist', net_train='data/train_test/epinions/epinions_maxC_train2.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(45003, 64)
batch 0 loss: 0.7141867280006409 	 early: 0
batch 1 loss: 0.6682823300361633 	 early: 0
batch 2 loss: 0.5330995917320251 	 early: 0
batch 3 loss: 0.35608726739883423 	 early: 0
batch 4 loss: 0.3729369044303894 	 early: 1
batch 5 loss: 0.3520662784576416 	 early: 0
batch 6 loss: 0.3480112552642822 	 early: 0
batch 7 loss: 0.3127969205379486 	 early: 0
batch 8 loss: 0.30613747239112854 	 early: 0
batch 9 loss: 0.30278074741363525 	 early: 0
batch 10 loss: 0.2933122515678406 	 early: 0
batch 11 loss: 0.2898024916648865 	 early: 0
batch 12 loss: 0.28265291452407837 	 early: 0
batch 13 loss: 0.2818286120891571 	 early: 0
batch 14 loss: 0.2797525227069855 	 early: 0
batch 15 loss: 0.2854609489440918 	 early: 1
batch 16 loss: 0.27756136655807495 	 early: 0
batch 17 loss: 0.2760871350765228 	 early: 0
batch 18 loss: 0.2702624201774597 	 early: 0
batch 19 loss: 0.2682257294654846 	 early: 0
batch 20 loss: 0.2654326558113098 	 early: 0
batch 21 loss: 0.2673652470111847 	 early: 1
batch 22 loss: 0.26421108841896057 	 early: 0
batch 23 loss: 0.2686125338077545 	 early: 1
batch 24 loss: 0.26161858439445496 	 early: 0
batch 25 loss: 0.26111847162246704 	 early: 0
batch 26 loss: 0.25684893131256104 	 early: 0
batch 27 loss: 0.25806325674057007 	 early: 1
batch 28 loss: 0.2552415728569031 	 early: 0
batch 29 loss: 0.25942176580429077 	 early: 1
batch 30 loss: 0.2535313367843628 	 early: 0
batch 31 loss: 0.2534745931625366 	 early: 0
batch 32 loss: 0.2467806190252304 	 early: 0
batch 33 loss: 0.24538305401802063 	 early: 0
batch 34 loss: 0.2418220043182373 	 early: 0
batch 35 loss: 0.2423420250415802 	 early: 1
batch 36 loss: 0.24083712697029114 	 early: 0
batch 37 loss: 0.2439451664686203 	 early: 1
batch 38 loss: 0.24002504348754883 	 early: 0
batch 39 loss: 0.2412177175283432 	 early: 1
batch 40 loss: 0.2358390986919403 	 early: 0
batch 41 loss: 0.2350240796804428 	 early: 0
batch 42 loss: 0.23297090828418732 	 early: 0
batch 43 loss: 0.23357588052749634 	 early: 1
batch 44 loss: 0.23021432757377625 	 early: 0
batch 45 loss: 0.23109139502048492 	 early: 1
batch 46 loss: 0.22964559495449066 	 early: 0
batch 47 loss: 0.23238468170166016 	 early: 1
batch 48 loss: 0.22920992970466614 	 early: 0
batch 49 loss: 0.22946886718273163 	 early: 1
batch 50 loss: 0.2251964807510376 	 early: 0
batch 51 loss: 0.22487880289554596 	 early: 0
batch 52 loss: 0.22379525005817413 	 early: 0
batch 53 loss: 0.22431208193302155 	 early: 1
batch 54 loss: 0.22251038253307343 	 early: 0
batch 55 loss: 0.22489626705646515 	 early: 1
batch 56 loss: 0.22367066144943237 	 early: 2
batch 57 loss: 0.22545146942138672 	 early: 3
batch 58 loss: 0.2210080325603485 	 early: 0
batch 59 loss: 0.2199857383966446 	 early: 0
batch 60 loss: 0.2171282321214676 	 early: 0
batch 61 loss: 0.2171923816204071 	 early: 1
batch 62 loss: 0.21596576273441315 	 early: 0
batch 63 loss: 0.21594518423080444 	 early: 0
batch 64 loss: 0.2141105979681015 	 early: 0
batch 65 loss: 0.2135424166917801 	 early: 0
batch 66 loss: 0.21166522800922394 	 early: 0
batch 67 loss: 0.21143506467342377 	 early: 0
batch 68 loss: 0.21161621809005737 	 early: 1
batch 69 loss: 0.21231329441070557 	 early: 2
batch 70 loss: 0.21210877597332 	 early: 3
batch 71 loss: 0.21612417697906494 	 early: 4
batch 72 loss: 0.21435432136058807 	 early: 5
batch 73 loss: 0.21487075090408325 	 early: 6
batch 74 loss: 0.20987866818904877 	 early: 0
batch 75 loss: 0.2093924731016159 	 early: 0
batch 76 loss: 0.2055647224187851 	 early: 0
batch 77 loss: 0.20416301488876343 	 early: 0
batch 78 loss: 0.20325621962547302 	 early: 0
batch 79 loss: 0.20236410200595856 	 early: 0
batch 80 loss: 0.20090648531913757 	 early: 0
