Namespace(alpha=0.2, att_dropout=0.4, cuda_available=True, cuda_device=0, embedding_path='logging/epinions/epinions_0_embedding.txt', epoches=4000, feature_dim=64, features_train='data/features/epinions/epinions_maxC_train0_features64_tsvd.pkl', interval=200, lr=0.01, model_path='logging/epinions/epinions_0_model.pkl', modify_input_features=True, net_test='data/train_test/epinions/epinions_maxC_test0.edgelist', net_train='data/train_test/epinions/epinions_maxC_train0.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(45003, 64)
batch 0 loss: 0.7141848206520081 	 early: 0
batch 1 loss: 0.6682018041610718 	 early: 0
batch 2 loss: 0.5313799381256104 	 early: 0
batch 3 loss: 0.357806533575058 	 early: 0
batch 4 loss: 0.37751320004463196 	 early: 1
batch 5 loss: 0.3518170118331909 	 early: 0
batch 6 loss: 0.34801697731018066 	 early: 0
batch 7 loss: 0.3133799135684967 	 early: 0
batch 8 loss: 0.306390643119812 	 early: 0
batch 9 loss: 0.30341193079948425 	 early: 0
batch 10 loss: 0.2965297996997833 	 early: 0
batch 11 loss: 0.29358744621276855 	 early: 0
batch 12 loss: 0.28481748700141907 	 early: 0
batch 13 loss: 0.28102412819862366 	 early: 0
batch 14 loss: 0.2784821391105652 	 early: 0
batch 15 loss: 0.27930429577827454 	 early: 1
batch 16 loss: 0.277213454246521 	 early: 0
batch 17 loss: 0.2821243405342102 	 early: 1
batch 18 loss: 0.27058330178260803 	 early: 0
batch 19 loss: 0.2681625783443451 	 early: 0
batch 20 loss: 0.2656779885292053 	 early: 0
batch 21 loss: 0.26748937368392944 	 early: 1
batch 22 loss: 0.2632642090320587 	 early: 0
batch 23 loss: 0.2644979953765869 	 early: 1
batch 24 loss: 0.26055899262428284 	 early: 0
batch 25 loss: 0.26324549317359924 	 early: 1
batch 26 loss: 0.25640568137168884 	 early: 0
batch 27 loss: 0.25675636529922485 	 early: 1
batch 28 loss: 0.2562209367752075 	 early: 0
batch 29 loss: 0.26152583956718445 	 early: 1
