Namespace(alpha=0.2, att_dropout=0.4, cuda_available=True, cuda_device=0, embedding_path='logging/epinions/epinions_3_embedding.txt', epoches=4000, feature_dim=64, features_train='data/features/epinions/epinions_maxC_train3_features64_tsvd.pkl', interval=200, lr=0.01, model_path='logging/epinions/epinions_3_model.pkl', modify_input_features=True, net_test='data/train_test/epinions/epinions_maxC_test3.edgelist', net_train='data/train_test/epinions/epinions_maxC_train3.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(45003, 64)
batch 0 loss: 0.7141810655593872 	 early: 0
batch 1 loss: 0.6681931614875793 	 early: 0
batch 2 loss: 0.5313119888305664 	 early: 0
batch 3 loss: 0.35722264647483826 	 early: 0
batch 4 loss: 0.37719836831092834 	 early: 1
batch 5 loss: 0.3518868684768677 	 early: 0
batch 6 loss: 0.34327802062034607 	 early: 0
batch 7 loss: 0.310083270072937 	 early: 0
batch 8 loss: 0.3074644207954407 	 early: 0
batch 9 loss: 0.3072218894958496 	 early: 0
batch 10 loss: 0.2971169948577881 	 early: 0
batch 11 loss: 0.29257869720458984 	 early: 0
batch 12 loss: 0.2847723066806793 	 early: 0
batch 13 loss: 0.280891090631485 	 early: 0
batch 14 loss: 0.27642622590065 	 early: 0
batch 15 loss: 0.27559906244277954 	 early: 0
batch 16 loss: 0.27412956953048706 	 early: 0
batch 17 loss: 0.2784847319126129 	 early: 1
batch 18 loss: 0.2718162536621094 	 early: 0
batch 19 loss: 0.2737053334712982 	 early: 1
batch 20 loss: 0.26914334297180176 	 early: 0
batch 21 loss: 0.268804669380188 	 early: 0
batch 22 loss: 0.26369860768318176 	 early: 0
batch 23 loss: 0.26397886872291565 	 early: 1
batch 24 loss: 0.2598327398300171 	 early: 0
batch 25 loss: 0.2607264816761017 	 early: 1
batch 26 loss: 0.25538188219070435 	 early: 0
batch 27 loss: 0.25840792059898376 	 early: 1
batch 28 loss: 0.25580906867980957 	 early: 2
batch 29 loss: 0.2595403492450714 	 early: 3
batch 30 loss: 0.25170019268989563 	 early: 0
batch 31 loss: 0.25165656208992004 	 early: 0
batch 32 loss: 0.2457442432641983 	 early: 0
batch 33 loss: 0.24590040743350983 	 early: 1
batch 34 loss: 0.2428605705499649 	 early: 0
batch 35 loss: 0.24475328624248505 	 early: 1
batch 36 loss: 0.24055369198322296 	 early: 0
batch 37 loss: 0.24226589500904083 	 early: 1
batch 38 loss: 0.23818828165531158 	 early: 0
batch 39 loss: 0.239052414894104 	 early: 1
batch 40 loss: 0.2365531027317047 	 early: 0
batch 41 loss: 0.23706716299057007 	 early: 1
batch 42 loss: 0.23467917740345 	 early: 0
