Namespace(alpha=0.2, att_dropout=0.5, cuda_available=True, cuda_device=0, embedding_path='logging/slashdot/slashdot_1_embedding.txt', epoches=4000, feature_dim=64, features_train='data/features/slashdot/slashdot_maxC_train1_features64_tsvd.pkl', interval=200, lr=0.01, model_path='logging/slashdot/slashdot_1_model.pkl', modify_input_features=True, net_test='data/train_test/slashdot/slashdot_maxC_test1.edgelist', net_train='data/train_test/slashdot/slashdot_maxC_train1.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(37626, 64)
batch 0 loss: 0.6823299527168274 	 early: 0
batch 1 loss: 0.6448875665664673 	 early: 0
batch 2 loss: 0.5714089870452881 	 early: 0
batch 3 loss: 0.542786180973053 	 early: 0
batch 4 loss: 0.5572667121887207 	 early: 1
batch 5 loss: 0.4971379041671753 	 early: 0
batch 6 loss: 0.4791342616081238 	 early: 0
batch 7 loss: 0.4629417657852173 	 early: 0
batch 8 loss: 0.4405212998390198 	 early: 0
batch 9 loss: 0.42040368914604187 	 early: 0
batch 10 loss: 0.41283631324768066 	 early: 0
batch 11 loss: 0.4319145381450653 	 early: 1
batch 12 loss: 0.42796820402145386 	 early: 2
batch 13 loss: 0.3973660171031952 	 early: 0
batch 14 loss: 0.38038116693496704 	 early: 0
batch 15 loss: 0.37686389684677124 	 early: 0
batch 16 loss: 0.3753345310688019 	 early: 0
batch 17 loss: 0.3728194236755371 	 early: 0
batch 18 loss: 0.371977299451828 	 early: 0
batch 19 loss: 0.37073877453804016 	 early: 0
batch 20 loss: 0.3703128695487976 	 early: 0
batch 21 loss: 0.3688603639602661 	 early: 0
batch 22 loss: 0.3686841130256653 	 early: 0
batch 23 loss: 0.3677228093147278 	 early: 0
batch 24 loss: 0.37006568908691406 	 early: 1
batch 25 loss: 0.37296879291534424 	 early: 2
batch 26 loss: 0.38170287013053894 	 early: 3
batch 27 loss: 0.3740655183792114 	 early: 4
batch 28 loss: 0.3711971342563629 	 early: 5
batch 29 loss: 0.3646314740180969 	 early: 0
batch 30 loss: 0.3627265691757202 	 early: 0
batch 31 loss: 0.3610992431640625 	 early: 0
batch 32 loss: 0.36027103662490845 	 early: 0
batch 33 loss: 0.3589627742767334 	 early: 0
batch 34 loss: 0.3580830991268158 	 early: 0
batch 35 loss: 0.35719436407089233 	 early: 0
batch 36 loss: 0.35815945267677307 	 early: 1
batch 37 loss: 0.3590386211872101 	 early: 2
batch 38 loss: 0.3639422357082367 	 early: 3
batch 39 loss: 0.3655295968055725 	 early: 4
batch 40 loss: 0.36908724904060364 	 early: 5
batch 41 loss: 0.3621147871017456 	 early: 6
batch 42 loss: 0.35936087369918823 	 early: 7
batch 43 loss: 0.355800062417984 	 early: 0
batch 44 loss: 0.3533903658390045 	 early: 0
batch 45 loss: 0.3517800271511078 	 early: 0
batch 46 loss: 0.35049742460250854 	 early: 0
batch 47 loss: 0.34971147775650024 	 early: 0
batch 48 loss: 0.34941229224205017 	 early: 0
batch 49 loss: 0.3491315245628357 	 early: 0
batch 50 loss: 0.3490440547466278 	 early: 0
batch 51 loss: 0.35024377703666687 	 early: 1
batch 52 loss: 0.353036105632782 	 early: 2
batch 53 loss: 0.3549751937389374 	 early: 3
batch 54 loss: 0.3585191071033478 	 early: 4
batch 55 loss: 0.3561849594116211 	 early: 5
batch 56 loss: 0.3563861846923828 	 early: 6
batch 57 loss: 0.351947546005249 	 early: 7
batch 58 loss: 0.3491182327270508 	 early: 8
batch 59 loss: 0.3469051122665405 	 early: 0
batch 60 loss: 0.34600991010665894 	 early: 0
batch 61 loss: 0.3443152904510498 	 early: 0
batch 62 loss: 0.3438248038291931 	 early: 0
batch 63 loss: 0.3425429165363312 	 early: 0
batch 64 loss: 0.3423762917518616 	 early: 0
batch 65 loss: 0.3422030806541443 	 early: 0
batch 66 loss: 0.3426114320755005 	 early: 1
batch 67 loss: 0.3432793617248535 	 early: 2
batch 68 loss: 0.34428367018699646 	 early: 3
batch 69 loss: 0.34593531489372253 	 early: 4
batch 70 loss: 0.34803301095962524 	 early: 5
batch 71 loss: 0.3495026230812073 	 early: 6
batch 72 loss: 0.3511616587638855 	 early: 7
batch 73 loss: 0.3480670154094696 	 early: 8
batch 74 loss: 0.3471417725086212 	 early: 9
batch 75 loss: 0.3445301949977875 	 early: 10
batch 76 loss: 0.34222277998924255 	 early: 11
batch 77 loss: 0.3401971161365509 	 early: 0
batch 78 loss: 0.339331716299057 	 early: 0
batch 79 loss: 0.33912989497184753 	 early: 0
batch 80 loss: 0.33888155221939087 	 early: 0
batch 81 loss: 0.33814412355422974 	 early: 0
batch 82 loss: 0.33806300163269043 	 early: 0
batch 83 loss: 0.338643342256546 	 early: 1
batch 84 loss: 0.3392253816127777 	 early: 2
batch 85 loss: 0.33977824449539185 	 early: 3
batch 86 loss: 0.3416876196861267 	 early: 4
batch 87 loss: 0.3423781991004944 	 early: 5
batch 88 loss: 0.34366095066070557 	 early: 6
batch 89 loss: 0.3424602150917053 	 early: 7
batch 90 loss: 0.3419135510921478 	 early: 8
batch 91 loss: 0.3399076461791992 	 early: 9
batch 92 loss: 0.3388325870037079 	 early: 10
batch 93 loss: 0.3372866213321686 	 early: 0
batch 94 loss: 0.33640503883361816 	 early: 0
batch 95 loss: 0.33611834049224854 	 early: 0
batch 96 loss: 0.33486348390579224 	 early: 0
batch 97 loss: 0.33556267619132996 	 early: 1
batch 98 loss: 0.3359394669532776 	 early: 2
batch 99 loss: 0.33540284633636475 	 early: 3
batch 100 loss: 0.33518481254577637 	 early: 4
batch 101 loss: 0.33497491478919983 	 early: 5
batch 102 loss: 0.3344651162624359 	 early: 0
batch 103 loss: 0.33456286787986755 	 early: 1
batch 104 loss: 0.33575761318206787 	 early: 2
batch 105 loss: 0.33612796664237976 	 early: 3
batch 106 loss: 0.3374200761318207 	 early: 4
