Namespace(alpha=0.2, att_dropout=0.5, cuda_available=True, cuda_device=0, embedding_path='logging/slashdot/slashdot_4_embedding.txt', epoches=4000, feature_dim=64, features_train='data/features/slashdot/slashdot_maxC_train4_features64_tsvd.pkl', interval=200, lr=0.01, model_path='logging/slashdot/slashdot_4_model.pkl', modify_input_features=True, net_test='data/train_test/slashdot/slashdot_maxC_test4.edgelist', net_train='data/train_test/slashdot/slashdot_maxC_train4.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(37626, 64)
batch 0 loss: 0.6823259592056274 	 early: 0
batch 1 loss: 0.6448538303375244 	 early: 0
batch 2 loss: 0.5708253979682922 	 early: 0
batch 3 loss: 0.5433041453361511 	 early: 0
batch 4 loss: 0.5574361681938171 	 early: 1
batch 5 loss: 0.49685579538345337 	 early: 0
batch 6 loss: 0.47830432653427124 	 early: 0
batch 7 loss: 0.4611879885196686 	 early: 0
batch 8 loss: 0.4368339478969574 	 early: 0
batch 9 loss: 0.4158773124217987 	 early: 0
batch 10 loss: 0.40889063477516174 	 early: 0
batch 11 loss: 0.4355209767818451 	 early: 1
batch 12 loss: 0.4425522983074188 	 early: 2
batch 13 loss: 0.39911946654319763 	 early: 0
batch 14 loss: 0.37954866886138916 	 early: 0
batch 15 loss: 0.3773418366909027 	 early: 0
batch 16 loss: 0.37534597516059875 	 early: 0
batch 17 loss: 0.3736599385738373 	 early: 0
batch 18 loss: 0.3729000985622406 	 early: 0
batch 19 loss: 0.3704785406589508 	 early: 0
batch 20 loss: 0.37037965655326843 	 early: 0
batch 21 loss: 0.368472158908844 	 early: 0
batch 22 loss: 0.3671918511390686 	 early: 0
batch 23 loss: 0.3666659891605377 	 early: 0
batch 24 loss: 0.367776483297348 	 early: 1
batch 25 loss: 0.36892786622047424 	 early: 2
batch 26 loss: 0.3735157251358032 	 early: 3
batch 27 loss: 0.3734956383705139 	 early: 4
batch 28 loss: 0.37856271862983704 	 early: 5
batch 29 loss: 0.37026190757751465 	 early: 6
batch 30 loss: 0.36692696809768677 	 early: 7
batch 31 loss: 0.3638147711753845 	 early: 0
batch 32 loss: 0.3624984622001648 	 early: 0
batch 33 loss: 0.36025866866111755 	 early: 0
batch 34 loss: 0.359502911567688 	 early: 0
batch 35 loss: 0.3583909571170807 	 early: 0
batch 36 loss: 0.35794317722320557 	 early: 0
batch 37 loss: 0.3573818504810333 	 early: 0
batch 38 loss: 0.3570041358470917 	 early: 0
batch 39 loss: 0.35933178663253784 	 early: 1
batch 40 loss: 0.3644108772277832 	 early: 2
batch 41 loss: 0.36656227707862854 	 early: 3
batch 42 loss: 0.3701810836791992 	 early: 4
batch 43 loss: 0.3630867302417755 	 early: 5
batch 44 loss: 0.3583919405937195 	 early: 6
batch 45 loss: 0.35496601462364197 	 early: 0
batch 46 loss: 0.3525295853614807 	 early: 0
batch 47 loss: 0.3516346216201782 	 early: 0
batch 48 loss: 0.35018789768218994 	 early: 0
batch 49 loss: 0.34926530718803406 	 early: 0
batch 50 loss: 0.34900471568107605 	 early: 0
batch 51 loss: 0.3479596972465515 	 early: 0
batch 52 loss: 0.348474383354187 	 early: 1
batch 53 loss: 0.34824076294898987 	 early: 2
batch 54 loss: 0.3484558165073395 	 early: 3
batch 55 loss: 0.3499944508075714 	 early: 4
batch 56 loss: 0.35577863454818726 	 early: 5
batch 57 loss: 0.36125651001930237 	 early: 6
batch 58 loss: 0.3657815754413605 	 early: 7
batch 59 loss: 0.356376588344574 	 early: 8
batch 60 loss: 0.35194626450538635 	 early: 9
batch 61 loss: 0.34736764430999756 	 early: 0
batch 62 loss: 0.3454422950744629 	 early: 0
batch 63 loss: 0.34383371472358704 	 early: 0
batch 64 loss: 0.3430732488632202 	 early: 0
batch 65 loss: 0.34277769923210144 	 early: 0
batch 66 loss: 0.34221863746643066 	 early: 0
batch 67 loss: 0.34185025095939636 	 early: 0
batch 68 loss: 0.3411211669445038 	 early: 0
batch 69 loss: 0.3410460650920868 	 early: 0
batch 70 loss: 0.3405184745788574 	 early: 0
batch 71 loss: 0.3408070504665375 	 early: 1
batch 72 loss: 0.3412558436393738 	 early: 2
batch 73 loss: 0.34293046593666077 	 early: 3
batch 74 loss: 0.34825965762138367 	 early: 4
batch 75 loss: 0.35265201330184937 	 early: 5
batch 76 loss: 0.3569539785385132 	 early: 6
batch 77 loss: 0.35046225786209106 	 early: 7
batch 78 loss: 0.3472850024700165 	 early: 8
batch 79 loss: 0.3422367572784424 	 early: 9
batch 80 loss: 0.3401058614253998 	 early: 0
batch 81 loss: 0.33943256735801697 	 early: 0
batch 82 loss: 0.33858776092529297 	 early: 0
batch 83 loss: 0.3384305238723755 	 early: 0
batch 84 loss: 0.33723166584968567 	 early: 0
batch 85 loss: 0.33746394515037537 	 early: 1
batch 86 loss: 0.33704429864883423 	 early: 0
batch 87 loss: 0.337352991104126 	 early: 1
batch 88 loss: 0.3362586498260498 	 early: 0
batch 89 loss: 0.3369632065296173 	 early: 1
batch 90 loss: 0.3366769850254059 	 early: 2
batch 91 loss: 0.3376064598560333 	 early: 3
batch 92 loss: 0.33785480260849 	 early: 4
batch 93 loss: 0.3383045792579651 	 early: 5
batch 94 loss: 0.3406594693660736 	 early: 6
batch 95 loss: 0.3416098654270172 	 early: 7
batch 96 loss: 0.34278494119644165 	 early: 8
batch 97 loss: 0.3422017991542816 	 early: 9
batch 98 loss: 0.34321820735931396 	 early: 10
batch 99 loss: 0.34014037251472473 	 early: 11
batch 100 loss: 0.33924251794815063 	 early: 12
batch 101 loss: 0.33737263083457947 	 early: 13
batch 102 loss: 0.33555498719215393 	 early: 0
batch 103 loss: 0.3344576358795166 	 early: 0
batch 104 loss: 0.33454814553260803 	 early: 1
batch 105 loss: 0.3340737819671631 	 early: 0
batch 106 loss: 0.3339017927646637 	 early: 0
batch 107 loss: 0.33366015553474426 	 early: 0
batch 108 loss: 0.3331221044063568 	 early: 0
batch 109 loss: 0.33320701122283936 	 early: 1
batch 110 loss: 0.3333784341812134 	 early: 2
batch 111 loss: 0.33362579345703125 	 early: 3
batch 112 loss: 0.33316004276275635 	 early: 4
batch 113 loss: 0.33349931240081787 	 early: 5
batch 114 loss: 0.3342907130718231 	 early: 6
batch 115 loss: 0.3348219096660614 	 early: 7
batch 116 loss: 0.3362385034561157 	 early: 8
batch 117 loss: 0.3373011648654938 	 early: 9
batch 118 loss: 0.3379131257534027 	 early: 10
batch 119 loss: 0.33809182047843933 	 early: 11
batch 120 loss: 0.3375454545021057 	 early: 12
batch 121 loss: 0.33628877997398376 	 early: 13
batch 122 loss: 0.33566784858703613 	 early: 14
batch 123 loss: 0.3340858519077301 	 early: 15
batch 124 loss: 0.3340570032596588 	 early: 16
batch 125 loss: 0.3335324227809906 	 early: 17
batch 126 loss: 0.3337901532649994 	 early: 18
batch 127 loss: 0.3328653872013092 	 early: 0
batch 128 loss: 0.33321133255958557 	 early: 1
batch 129 loss: 0.3325532078742981 	 early: 0
batch 130 loss: 0.33259129524230957 	 early: 1
batch 131 loss: 0.333391010761261 	 early: 2
batch 132 loss: 0.3322558104991913 	 early: 0
batch 133 loss: 0.33178338408470154 	 early: 0
batch 134 loss: 0.3320342004299164 	 early: 1
batch 135 loss: 0.3316987156867981 	 early: 0
batch 136 loss: 0.3318384289741516 	 early: 1
batch 137 loss: 0.33149057626724243 	 early: 0
batch 138 loss: 0.3325231671333313 	 early: 1
batch 139 loss: 0.33269819617271423 	 early: 2
batch 140 loss: 0.3330496549606323 	 early: 3
batch 141 loss: 0.332908034324646 	 early: 4
batch 142 loss: 0.3336275815963745 	 early: 5
batch 143 loss: 0.3330616354942322 	 early: 6
batch 144 loss: 0.33420461416244507 	 early: 7
batch 145 loss: 0.3342561721801758 	 early: 8
batch 146 loss: 0.3337514400482178 	 early: 9
batch 147 loss: 0.33310362696647644 	 early: 10
batch 148 loss: 0.3327617943286896 	 early: 11
batch 149 loss: 0.3323022127151489 	 early: 12
batch 150 loss: 0.3317588269710541 	 early: 13
batch 151 loss: 0.3311789035797119 	 early: 0
batch 152 loss: 0.3305528461933136 	 early: 0
batch 153 loss: 0.33040136098861694 	 early: 0
batch 154 loss: 0.33007755875587463 	 early: 0
batch 155 loss: 0.3300635814666748 	 early: 0
batch 156 loss: 0.33077648282051086 	 early: 1
batch 157 loss: 0.33037084341049194 	 early: 2
batch 158 loss: 0.33065178990364075 	 early: 3
batch 159 loss: 0.3308931887149811 	 early: 4
batch 160 loss: 0.331043004989624 	 early: 5
batch 161 loss: 0.33150675892829895 	 early: 6
batch 162 loss: 0.331329345703125 	 early: 7
batch 163 loss: 0.3309974670410156 	 early: 8
batch 164 loss: 0.33010217547416687 	 early: 9
batch 165 loss: 0.3295220136642456 	 early: 0
batch 166 loss: 0.32920515537261963 	 early: 0
batch 167 loss: 0.32833290100097656 	 early: 0
batch 168 loss: 0.3282167315483093 	 early: 0
batch 169 loss: 0.3291735351085663 	 early: 1
batch 170 loss: 0.3288889527320862 	 early: 2
