Namespace(alpha=0.2, att_dropout=0.5, cuda_available=True, cuda_device=0, embedding_path='logging/slashdot/slashdot_0_embedding.txt', epoches=4000, feature_dim=64, features_train='data/features/slashdot/slashdot_maxC_train0_features64_tsvd.pkl', interval=200, lr=0.01, model_path='logging/slashdot/slashdot_0_model.pkl', modify_input_features=True, net_test='data/train_test/slashdot/slashdot_maxC_test0.edgelist', net_train='data/train_test/slashdot/slashdot_maxC_train0.edgelist', nheads=4, node_dropout=0.5, regularize=0.001, seed=2020)
Using 0 CUDA!!!
loading features ... 
load tsvd node representation...	(37626, 64)
batch 0 loss: 0.6823240518569946 	 early: 0
batch 1 loss: 0.6447932124137878 	 early: 0
batch 2 loss: 0.5706102848052979 	 early: 0
batch 3 loss: 0.5452925562858582 	 early: 0
batch 4 loss: 0.5581277012825012 	 early: 1
batch 5 loss: 0.4975995719432831 	 early: 0
batch 6 loss: 0.47782567143440247 	 early: 0
batch 7 loss: 0.46134424209594727 	 early: 0
batch 8 loss: 0.4381902813911438 	 early: 0
batch 9 loss: 0.4182218909263611 	 early: 0
batch 10 loss: 0.4103841185569763 	 early: 0
batch 11 loss: 0.42937344312667847 	 early: 1
batch 12 loss: 0.43452343344688416 	 early: 2
batch 13 loss: 0.3981062173843384 	 early: 0
batch 14 loss: 0.37955376505851746 	 early: 0
batch 15 loss: 0.37706810235977173 	 early: 0
batch 16 loss: 0.3751283884048462 	 early: 0
batch 17 loss: 0.37303322553634644 	 early: 0
batch 18 loss: 0.37194347381591797 	 early: 0
batch 19 loss: 0.37027081847190857 	 early: 0
batch 20 loss: 0.369028776884079 	 early: 0
batch 21 loss: 0.3674980700016022 	 early: 0
batch 22 loss: 0.3654692471027374 	 early: 0
batch 23 loss: 0.3644241392612457 	 early: 0
batch 24 loss: 0.3633834719657898 	 early: 0
batch 25 loss: 0.3621219992637634 	 early: 0
batch 26 loss: 0.3619872033596039 	 early: 0
batch 27 loss: 0.36425894498825073 	 early: 1
batch 28 loss: 0.37799474596977234 	 early: 2
batch 29 loss: 0.38831186294555664 	 early: 3
batch 30 loss: 0.39890623092651367 	 early: 4
batch 31 loss: 0.36925208568573 	 early: 5
batch 32 loss: 0.36191776394844055 	 early: 0
batch 33 loss: 0.35904064774513245 	 early: 0
batch 34 loss: 0.35827121138572693 	 early: 0
batch 35 loss: 0.35700079798698425 	 early: 0
batch 36 loss: 0.3557349145412445 	 early: 0
batch 37 loss: 0.3551845848560333 	 early: 0
batch 38 loss: 0.35441431403160095 	 early: 0
batch 39 loss: 0.3532872200012207 	 early: 0
batch 40 loss: 0.35264283418655396 	 early: 0
batch 41 loss: 0.3518218994140625 	 early: 0
batch 42 loss: 0.3504895567893982 	 early: 0
batch 43 loss: 0.34979677200317383 	 early: 0
batch 44 loss: 0.3486115336418152 	 early: 0
batch 45 loss: 0.3476629853248596 	 early: 0
